FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,4,56,3,56,3,0,0,0,50,78,14,78,13,1,0,0,1508,53,69,53,36,23,7,3,34,87,5,87,3,2,0,0
1,29.0,79.25,1,58,1,58,1,0,0,0,124,78,14,78,9,5,0,0,1187,52,70,52,35,30,4,1,9,89,3,89,3,0,0,0
2,29.0,79.5,4,58,1,58,1,0,0,0,143,76,16,76,8,8,0,0,1711,45,77,45,36,29,12,0,18,87,5,87,5,0,0,0
3,29.0,79.75,12,56,3,56,3,0,0,0,136,70,22,70,20,2,0,0,1259,47,75,47,38,32,5,0,22,86,6,86,6,0,0,0
4,29.0,80.0,14,56,3,56,3,0,0,0,117,67,25,67,23,2,0,0,1293,52,70,52,36,28,5,1,27,86,6,86,6,0,0,0
5,29.25,79.0,5,57,2,57,2,0,0,0,84,74,18,74,15,3,0,0,495,62,60,62,40,20,0,0,1,91,1,91,1,0,0,0
6,29.25,79.25,10,56,3,56,3,0,0,0,202,69,23,69,16,7,0,0,2454,39,83,39,35,27,17,4,28,87,5,87,4,1,0,0
7,29.25,79.5,16,55,4,55,4,0,0,0,192,66,26,66,19,7,0,0,1875,34,88,34,44,32,10,2,21,85,7,85,7,0,0,0
8,29.25,79.75,21,56,3,56,2,1,0,0,160,66,26,66,24,1,1,0,758,50,72,50,47,23,2,0,3,89,3,89,3,0,0,0
9,29.25,80.0,20,56,3,56,2,1,0,0,164,66,26,66,24,1,1,0,788,48,74,48,47,25,2,0,5,87,5,87,5,0,0,0
10,29.25,80.25,20,56,3,56,2,1,0,0,195,62,30,62,24,6,0,0,1033,46,76,46,39,34,3,0,14,86,6,86,6,0,0,0
11,29.5,78.75,2,58,1,58,1,0,0,0,38,81,11,81,10,1,0,0,568,71,51,71,31,19,1,0,1,91,1,91,1,0,0,0
12,29.5,79.0,14,56,3,56,3,0,0,0,165,73,19,73,12,7,0,0,644,51,71,51,51,19,1,0,1,91,1,91,1,0,0,0
13,29.5,79.25,18,55,4,55,4,0,0,0,210,69,23,69,14,9,0,0,1330,33,89,33,54,29,5,1,3,90,2,90,2,0,0,0
14,29.5,79.5,22,55,4,55,3,1,0,0,166,68,24,68,20,4,0,0,895,46,76,46,55,17,3,1,6,89,3,89,3,0,0,0
15,29.5,79.75,21,56,3,56,2,1,0,0,185,62,30,62,24,6,0,0,733,51,71,51,44,26,1,0,4,90,2,90,2,0,0,0
16,29.5,80.0,25,56,3,56,2,1,0,0,253,66,26,66,19,6,1,0,947,47,75,47,48,23,4,0,12,90,2,90,2,0,0,0
17,29.5,80.25,27,53,6,53,5,1,0,0,223,62,30,62,23,6,1,0,1360,13,109,13,61,46,2,0,41,84,8,84,8,0,0,0
18,29.75,78.0,14,54,5,54,5,0,0,0,81,81,11,81,8,3,0,0,964,49,73,49,46,23,3,1,4,90,2,90,2,0,0,0
19,29.75,78.25,14,54,5,54,5,0,0,0,82,81,11,81,8,3,0,0,974,47,75,47,45,26,3,1,1,91,1,91,1,0,0,0
20,29.75,78.5,17,55,4,55,3,1,0,0,79,81,11,81,7,4,0,0,875,54,68,54,39,26,3,0,2,91,1,91,1,0,0,0
21,29.75,78.75,25,54,5,54,4,1,0,0,88,76,16,76,13,3,0,0,761,46,76,46,49,26,1,0,1,91,1,91,1,0,0,0
22,29.75,79.0,17,56,3,56,3,0,0,0,173,65,27,65,21,6,0,0,868,47,75,47,44,30,1,0,0,92,0,92,0,0,0,0
23,29.75,79.25,18,56,3,56,3,0,0,0,153,72,20,72,15,5,0,0,789,68,54,68,29,22,3,0,0,92,0,92,0,0,0,0
24,29.75,79.5,11,56,3,56,3,0,0,0,216,69,23,69,16,6,1,0,766,48,74,48,46,27,0,1,0,92,0,92,0,0,0,0
25,29.75,79.75,13,56,3,56,3,0,0,0,240,64,28,64,20,8,0,0,805,43,79,43,46,32,1,0,2,91,1,91,1,0,0,0
26,29.75,80.0,32,53,6,53,5,1,0,0,257,60,32,60,25,6,1,0,1277,28,94,28,46,47,1,0,35,88,4,88,3,1,0,0
27,29.75,80.25,36,53,6,53,5,1,0,0,246,59,33,59,25,8,0,0,1826,14,108,14,50,51,7,0,79,82,10,82,6,4,0,0
28,30.0,77.75,12,54,5,54,5,0,0,0,84,78,14,78,12,2,0,0,1032,48,74,48,50,20,2,2,5,89,3,89,3,0,0,0
29,30.0,78.0,20,55,4,55,4,0,0,0,95,79,13,79,9,4,0,0,1170,41,81,41,51,24,6,0,7,90,2,90,2,0,0,0
30,30.0,78.25,35,53,6,53,5,1,0,0,132,69,23,69,19,4,0,0,1175,34,88,34,49,37,2,0,5,90,2,90,2,0,0,0
31,30.0,78.5,35,54,5,54,4,1,0,0,76,73,19,73,17,2,0,0,793,56,66,56,37,27,2,0,2,91,1,91,1,0,0,0
32,30.0,78.75,29,53,6,53,5,1,0,0,77,74,18,74,15,3,0,0,875,53,69,53,37,29,3,0,2,91,1,91,1,0,0,0
33,30.0,79.0,25,53,6,53,5,1,0,0,143,67,25,67,20,5,0,0,1027,41,81,41,48,31,2,0,4,89,3,89,3,0,0,0
34,30.0,79.25,21,53,6,53,6,0,0,0,209,62,30,62,23,7,0,0,987,38,84,38,51,31,2,0,3,89,3,89,3,0,0,0
35,30.0,79.5,12,56,3,56,3,0,0,0,210,66,26,66,19,7,0,0,1143,47,75,47,42,29,4,0,1,91,1,91,1,0,0,0
36,30.0,79.75,30,53,6,53,5,1,0,0,237,59,33,59,26,7,0,0,1493,40,82,40,43,31,7,1,5,90,2,90,2,0,0,0
