FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,36,51,8,51,7,1,0,0,126,76,16,76,14,2,0,0,2089,51,71,51,22,36,10,3,0,92,0,92,0,0,0,0
1,29.0,79.25,26,46,13,46,13,0,0,0,80,75,17,75,14,3,0,0,1026,59,63,59,33,23,6,1,7,91,1,91,1,0,0,0
2,29.0,79.5,51,45,14,45,14,0,0,0,100,69,23,69,20,3,0,0,1187,45,77,45,45,25,6,1,0,92,0,92,0,0,0,0
3,29.0,79.75,40,48,11,48,11,0,0,0,121,73,19,73,16,3,0,0,1728,39,83,39,37,41,3,2,0,92,0,92,0,0,0,0
4,29.0,80.0,41,48,11,48,11,0,0,0,124,73,19,73,17,2,0,0,1927,43,79,43,30,38,8,3,0,92,0,92,0,0,0,0
5,29.25,79.0,52,44,15,44,15,0,0,0,78,72,20,72,19,1,0,0,931,60,62,60,35,23,3,1,20,90,2,90,1,1,0,0
6,29.25,79.25,83,46,13,46,11,2,0,0,121,67,25,67,22,3,0,0,1192,54,68,54,34,29,3,2,13,91,1,91,0,1,0,0
7,29.25,79.5,122,45,14,45,9,5,0,0,156,65,27,65,22,5,0,0,1399,47,75,47,44,25,3,3,5,91,1,91,1,0,0,0
8,29.25,79.75,119,45,14,45,10,4,0,0,164,63,29,63,24,5,0,0,1587,41,81,41,42,33,2,4,0,92,0,92,0,0,0,0
9,29.25,80.0,90,42,17,42,14,3,0,0,156,57,35,57,32,3,0,0,1895,24,98,24,45,48,3,2,4,91,1,91,1,0,0,0
10,29.25,80.25,81,40,19,40,19,0,0,0,146,59,33,59,30,3,0,0,1925,26,96,26,36,54,5,1,6,91,1,91,1,0,0,0
11,29.5,78.75,23,49,10,49,10,0,0,0,49,82,10,82,10,0,0,0,843,70,52,70,26,23,2,1,27,90,2,90,1,1,0,0
12,29.5,79.0,11,49,10,49,10,0,0,0,53,79,13,79,11,2,0,0,835,72,50,72,26,21,2,1,30,91,1,91,0,1,0,0
13,29.5,79.25,72,47,12,47,10,2,0,0,108,69,23,69,21,2,0,0,1124,59,63,59,32,26,3,2,16,91,1,91,0,1,0,0
14,29.5,79.5,161,44,15,44,7,8,0,0,186,69,23,69,16,7,0,0,1508,54,68,54,41,18,4,5,1,91,1,91,1,0,0,0
15,29.5,79.75,151,37,22,37,15,7,0,0,200,51,41,51,34,7,0,0,1546,21,101,21,64,30,3,4,4,90,2,90,2,0,0,0
