FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,24,55,4,55,3,1,0,0,57,82,10,82,8,2,0,0,612,61,61,61,43,18,0,0,8,89,3,89,3,0,0,0
1,29.0,79.25,23,51,8,51,7,1,0,0,44,81,11,81,10,1,0,0,677,70,52,70,33,15,4,0,17,88,4,88,4,0,0,0
2,29.0,79.5,37,50,9,50,8,1,0,0,65,77,15,77,14,1,0,0,721,66,56,66,32,21,3,0,20,88,4,88,3,1,0,0
3,29.0,79.75,31,55,4,55,3,1,0,0,58,82,10,82,7,3,0,0,706,61,61,61,43,14,4,0,7,88,4,88,4,0,0,0
4,29.0,80.0,26,55,4,55,3,1,0,0,55,82,10,82,9,1,0,0,735,46,76,46,52,22,2,0,7,88,4,88,4,0,0,0
5,29.25,79.0,24,52,7,52,7,0,0,0,64,78,14,78,12,2,0,0,830,69,53,69,33,16,4,0,17,89,3,89,3,0,0,0
6,29.25,79.25,51,49,10,49,9,1,0,0,95,78,14,78,11,3,0,0,925,63,59,63,34,21,4,0,47,88,4,88,2,2,0,0
7,29.25,79.5,68,48,11,48,8,3,0,0,111,71,21,71,17,4,0,0,778,60,62,60,38,20,4,0,42,88,4,88,1,3,0,0
8,29.25,79.75,82,48,11,48,6,5,0,0,188,64,28,64,22,6,0,0,702,47,75,47,53,19,3,0,29,87,5,87,3,2,0,0
9,29.25,80.0,90,50,9,50,5,4,0,0,259,66,26,66,19,6,1,0,708,44,78,44,57,19,2,0,21,87,5,87,4,1,0,0
10,29.25,80.25,78,50,9,50,5,4,0,0,224,67,25,67,18,7,0,0,1005,33,89,33,52,36,1,0,21,86,6,86,5,1,0,0
11,29.5,78.75,20,54,5,54,5,0,0,0,61,83,9,83,8,1,0,0,720,72,50,72,27,21,2,0,13,90,2,90,1,1,0,0
12,29.5,79.0,22,54,5,54,5,0,0,0,62,80,12,80,10,2,0,0,798,67,55,67,32,20,2,1,12,88,4,88,4,0,0,0
13,29.5,79.25,30,53,6,53,5,1,0,0,103,74,18,74,16,2,0,0,642,64,58,64,43,11,4,0,25,86,6,86,6,0,0,0
14,29.5,79.5,91,48,11,48,9,2,0,0,137,67,25,67,21,4,0,0,576,75,47,75,33,11,3,0,33,87,5,87,3,2,0,0
15,29.5,79.75,113,51,8,51,2,6,0,0,322,63,29,63,21,7,1,0,645,51,71,51,54,15,2,0,32,87,5,87,4,1,0,0
16,29.5,80.0,133,51,8,51,3,5,0,0,420,70,22,70,11,9,2,0,847,42,80,42,53,25,2,0,31,88,4,88,3,1,0,0
17,29.5,80.25,107,51,8,51,3,5,0,0,299,64,28,64,21,7,0,0,1158,35,87,35,43,44,0,0,35,87,5,87,4,1,0,0
18,29.75,78.0,52,54,5,54,1,4,0,0,93,77,15,77,12,3,0,0,521,81,41,81,26,13,2,0,15,89,3,89,3,0,0,0
19,29.75,78.25,52,53,6,53,2,4,0,0,89,77,15,77,12,3,0,0,510,83,39,83,26,11,2,0,13,89,3,89,3,0,0,0
20,29.75,78.5,87,54,5,54,3,2,0,0,208,81,11,81,5,5,1,0,722,80,42,80,21,18,2,1,29,90,2,90,0,2,0,0
21,29.75,78.75,50,54,5,54,3,2,0,0,129,79,13,79,8,5,0,0,781,55,67,55,40,25,2,0,19,89,3,89,2,1,0,0
22,29.75,79.0,34,53,6,53,4,2,0,0,83,71,21,71,18,3,0,0,682,56,66,56,50,14,2,0,24,87,5,87,4,1,0,0
23,29.75,79.25,58,52,7,52,5,2,0,0,128,68,24,68,22,2,0,0,604,64,58,64,44,10,4,0,48,86,6,86,3,3,0,0
24,29.75,79.5,73,52,7,52,4,3,0,0,133,69,23,69,21,2,0,0,512,70,52,70,40,10,2,0,41,86,6,86,4,2,0,0
25,29.75,79.75,112,51,8,51,2,6,0,0,285,62,30,62,23,6,1,0,646,48,74,48,57,15,2,0,32,88,4,88,3,1,0,0
26,29.75,80.0,120,51,8,51,3,5,0,0,352,64,28,64,20,6,2,0,866,35,87,35,54,32,1,0,33,87,5,87,4,1,0,0
27,29.75,80.25,80,53,6,53,2,4,0,0,173,69,23,69,15,8,0,0,1583,38,84,38,29,51,4,0,46,87,5,87,2,3,0,0
28,30.0,77.75,73,51,8,51,5,3,0,0,130,72,20,72,17,3,0,0,538,71,51,71,35,14,2,0,19,89,3,89,3,0,0,0
29,30.0,78.0,68,51,8,51,5,3,0,0,121,77,15,77,12,3,0,0,579,73,49,73,31,17,1,0,24,89,3,89,2,1,0,0
30,30.0,78.25,74,52,7,52,3,4,0,0,150,68,24,68,19,5,0,0,523,66,56,66,37,18,1,0,17,88,4,88,3,1,0,0
31,30.0,78.5,67,51,8,51,5,3,0,0,152,70,22,70,18,4,0,0,507,70,52,70,35,16,1,0,22,88,4,88,4,0,0,0
32,30.0,78.75,48,52,7,52,5,2,0,0,79,70,22,70,19,3,0,0,529,60,62,60,45,17,0,0,22,88,4,88,3,1,0,0
33,30.0,79.0,58,50,9,50,7,2,0,0,160,62,30,62,26,4,0,0,625,49,73,49,51,21,1,0,19,85,7,85,7,0,0,0
34,30.0,79.25,70,50,9,50,6,3,0,0,180,58,34,58,31,3,0,0,613,51,71,51,51,19,1,0,35,84,8,84,7,1,0,0
35,30.0,79.5,69,50,9,50,6,3,0,0,150,60,32,60,30,2,0,0,482,61,61,61,48,12,1,0,41,85,7,85,6,1,0,0
36,30.0,79.75,95,51,8,51,2,6,0,0,228,59,33,59,26,7,0,0,676,31,91,31,66,24,1,0,29,88,4,88,3,1,0,0
37,30.0,80.0,96,51,8,51,2,6,0,0,253,60,32,60,25,7,0,0,755,38,84,38,58,26,0,0,26,89,3,89,2,1,0,0
38,30.0,80.25,81,53,6,53,2,4,0,0,176,69,23,69,15,8,0,0,1470,38,84,38,30,50,4,0,40,88,4,88,2,2,0,0
39,30.0,80.5,84,52,7,52,4,3,0,0,186,67,25,67,16,9,0,0,1493,38,84,38,30,50,4,0,42,88,4,88,2,2,0,0
40,30.25,78.0,76,51,8,51,6,2,0,0,109,75,17,75,15,2,0,0,804,62,60,62,30,29,1,0,21,89,3,89,2,1,0,0
41,30.25,78.25,88,48,11,48,6,5,0,0,152,71,21,71,15,6,0,0,485,62,60,62,39,21,0,0,17,90,2,90,1,1,0,0
42,30.25,78.5,46,52,7,52,5,2,0,0,59,72,20,72,20,0,0,0,302,69,53,69,41,12,0,0,14,88,4,88,4,0,0,0
43,30.25,78.75,43,50,9,50,8,1,0,0,41,72,20,72,20,0,0,0,430,63,59,63,43,16,0,0,15,88,4,88,4,0,0,0
