FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,132,51,8,51,6,0,2,0,61,85,7,85,6,1,0,0,1721,39,83,39,43,30,9,1,19,87,5,87,5,0,0,0
1,29.0,79.25,83,52,7,52,6,0,1,0,16,84,8,84,8,0,0,0,1067,53,69,53,38,26,5,0,14,86,6,86,6,0,0,0
2,29.0,79.5,86,53,6,53,5,0,1,0,19,86,6,86,6,0,0,0,1176,43,79,43,47,27,5,0,20,87,5,87,4,1,0,0
3,29.0,79.75,89,51,8,51,6,1,1,0,20,86,6,86,5,1,0,0,1321,45,77,45,43,28,4,2,15,88,4,88,4,0,0,0
4,29.0,80.0,114,50,9,50,7,1,1,0,46,81,11,81,10,1,0,0,1449,35,87,35,45,38,3,1,20,85,7,85,7,0,0,0
5,29.25,79.0,62,53,6,53,5,1,0,0,32,88,4,88,3,1,0,0,909,57,65,57,39,22,4,0,6,87,5,87,5,0,0,0
6,29.25,79.25,104,50,9,50,5,4,0,0,71,82,10,82,6,4,0,0,1095,45,77,45,41,30,6,0,47,81,11,81,9,2,0,0
7,29.25,79.5,111,48,11,48,7,4,0,0,91,77,15,77,11,4,0,0,1104,34,88,34,54,31,3,0,44,78,14,78,12,2,0,0
8,29.25,79.75,104,51,8,51,6,1,1,0,45,78,14,78,14,0,0,0,945,42,80,42,52,24,3,1,29,86,6,86,5,1,0,0
9,29.25,80.0,108,51,8,51,5,2,1,0,48,80,12,80,12,0,0,0,849,45,77,45,53,20,3,1,26,84,8,84,8,0,0,0
10,29.25,80.25,112,51,8,51,4,3,1,0,63,77,15,77,13,2,0,0,829,35,87,35,62,22,3,0,25,84,8,84,8,0,0,0
11,29.5,78.75,70,54,5,54,3,2,0,0,36,89,3,89,2,1,0,0,1057,61,61,61,33,22,4,2,31,88,4,88,3,1,0,0
12,29.5,79.0,37,53,6,53,5,1,0,0,27,86,6,86,5,1,0,0,884,56,66,56,42,18,6,0,24,84,8,84,7,1,0,0
13,29.5,79.25,93,47,12,47,10,2,0,0,108,77,15,77,12,3,0,0,1209,33,89,33,51,34,4,0,56,75,17,75,16,1,0,0
14,29.5,79.5,126,47,12,47,9,2,1,0,107,76,16,76,12,4,0,0,829,38,84,38,58,23,3,0,49,79,13,79,12,1,0,0
15,29.5,79.75,112,48,11,48,7,3,1,0,70,71,21,71,20,1,0,0,688,48,74,48,55,17,2,0,31,81,11,81,11,0,0,0
16,29.5,80.0,116,52,7,52,3,4,0,0,77,79,13,79,10,3,0,0,462,61,61,61,48,11,2,0,28,84,8,84,8,0,0,0
17,29.5,80.25,122,48,11,48,6,5,0,0,72,77,15,77,12,3,0,0,819,34,88,34,62,24,2,0,31,77,15,77,15,0,0,0
18,29.75,78.0,83,55,4,55,1,2,1,0,8,87,5,87,5,0,0,0,1303,70,52,70,20,24,4,4,85,84,8,84,6,2,0,0
19,29.75,78.25,82,50,9,50,6,3,0,0,11,87,5,87,5,0,0,0,1127,55,67,55,39,22,5,1,96,85,7,85,5,1,1,0
20,29.75,78.5,137,50,9,50,6,3,0,0,49,87,5,87,2,3,0,0,1655,60,62,60,24,26,9,3,111,87,5,87,3,1,1,0
21,29.75,78.75,77,50,9,50,6,3,0,0,36,85,7,85,6,1,0,0,1327,40,82,40,45,28,9,0,62,86,6,86,5,1,0,0
22,29.75,79.0,55,49,10,49,8,2,0,0,51,80,12,80,11,1,0,0,932,42,80,42,51,26,3,0,29,83,9,83,8,1,0,0
23,29.75,79.25,73,48,11,48,8,3,0,0,77,80,12,80,9,3,0,0,895,43,79,43,52,24,3,0,34,85,7,85,5,2,0,0
24,29.75,79.5,103,48,11,48,7,4,0,0,101,77,15,77,11,4,0,0,769,35,87,35,61,26,0,0,33,79,13,79,13,0,0,0
25,29.75,79.75,116,47,12,47,8,4,0,0,86,71,21,71,20,1,0,0,590,46,76,46,56,19,1,0,31,79,13,79,13,0,0,0
26,29.75,80.0,118,48,11,48,6,5,0,0,76,74,18,74,15,3,0,0,648,40,82,40,61,20,1,0,37,76,16,76,16,0,0,0
27,29.75,80.25,124,51,8,51,5,3,0,0,71,83,9,83,6,3,0,0,1150,42,80,42,46,28,6,0,48,74,18,74,17,1,0,0
28,30.0,77.75,97,51,8,51,5,2,1,0,14,88,4,88,4,0,0,0,1359,60,62,60,27,29,3,3,69,83,9,83,7,2,0,0
29,30.0,78.0,108,54,5,54,2,2,1,0,16,84,8,84,8,0,0,0,1653,61,61,61,31,20,6,4,69,83,9,83,7,2,0,0
30,30.0,78.25,153,52,7,52,2,4,1,0,48,82,10,82,9,1,0,0,1686,46,76,46,31,38,5,2,42,84,8,84,7,1,0,0
31,30.0,78.5,118,50,9,50,5,4,0,0,43,85,7,85,6,1,0,0,1245,44,78,44,42,29,7,0,60,86,6,86,5,1,0,0
32,30.0,78.75,86,50,9,50,5,4,0,0,37,85,7,85,6,1,0,0,1127,46,76,46,44,28,4,0,47,85,7,85,6,1,0,0
33,30.0,79.0,89,51,8,51,5,3,0,0,16,88,4,88,4,0,0,0,810,44,78,44,50,28,0,0,31,80,12,80,12,0,0,0
34,30.0,79.25,92,49,10,49,7,3,0,0,30,83,9,83,8,1,0,0,720,43,79,43,52,27,0,0,37,79,13,79,13,0,0,0
35,30.0,79.5,88,49,10,49,7,3,0,0,70,82,10,82,6,4,0,0,736,42,80,42,51,29,0,0,32,79,13,79,13,0,0,0
36,30.0,79.75,116,45,14,45,11,3,0,0,88,71,21,71,19,2,0,0,785,31,91,31,60,30,1,0,61,70,22,70,22,0,0,0
37,30.0,80.0,117,47,12,47,8,4,0,0,77,74,18,74,16,2,0,0,942,32,90,32,61,27,2,0,77,72,20,72,18,2,0,0
38,30.0,80.25,125,49,10,49,7,3,0,0,72,82,10,82,7,3,0,0,1139,42,80,42,46,28,6,0,71,75,17,75,16,1,0,0
39,30.0,80.5,125,49,10,49,7,3,0,0,73,81,11,81,8,3,0,0,1092,46,76,46,42,29,5,0,63,74,18,74,17,1,0,0
40,30.25,78.0,203,50,9,50,4,4,1,0,58,82,10,82,8,2,0,0,1703,38,84,38,36,38,9,1,42,86,6,86,5,1,0,0
41,30.25,78.25,198,50,9,50,4,3,2,0,64,83,9,83,7,2,0,0,1217,50,72,50,36,32,3,1,69,84,8,84,4,4,0,0
42,30.25,78.5,105,52,7,52,3,4,0,0,42,88,4,88,2,2,0,0,785,61,61,61,37,23,1,0,39,84,8,84,8,0,0,0
43,30.25,78.75,84,51,8,51,4,4,0,0,36,86,6,86,4,2,0,0,825,58,64,58,38,23,3,0,43,83,9,83,8,1,0,0
44,30.25,79.0,102,51,8,51,4,4,0,0,21,85,7,85,7,0,0,0,741,54,68,54,46,21,1,0,44,79,13,79,13,0,0,0
45,30.25,79.25,135,50,9,50,5,3,1,0,41,74,18,74,18,0,0,0,890,38,84,38,52,32,0,0,53,76,16,76,15,1,0,0
46,30.25,79.5,63,48,11,48,8,3,0,0,75,71,21,71,20,1,0,0,778,41,81,41,52,28,1,0,58,75,17,75,16,1,0,0
47,30.25,79.75,60,48,11,48,8,3,0,0,63,75,17,75,16,1,0,0,708,38,84,38,60,23,1,0,63,71,21,71,21,0,0,0
48,30.25,80.0,107,47,12,47,8,4,0,0,81,67,25,67,23,2,0,0,925,32,90,32,62,27,1,0,76,72,20,72,20,0,0,0
49,30.25,80.25,120,48,11,48,8,3,0,0,76,74,18,74,15,3,0,0,1032,35,87,35,54,30,3,0,72,73,19,73,19,0,0,0
50,30.25,80.5,121,49,10,49,7,3,0,0,73,81,11,81,8,3,0,0,1046,47,75,47,44,27,4,0,69,74,18,74,17,1,0,0
51,30.25,80.75,126,49,10,49,7,3,0,0,72,83,9,83,6,3,0,0,1073,59,63,59,30,27,6,0,72,74,18,74,17,1,0,0
52,30.25,81.0,124,51,8,51,5,3,0,0,74,83,9,83,6,3,0,0,1102,68,54,68,20,28,5,1,75,75,17,75,16,1,0,0
53,30.5,78.0,269,49,10,49,6,1,3,0,71,82,10,82,7,3,0,0,995,48,74,48,47,23,4,0,142,84,8,84,3,5,0,0
54,30.5,78.25,205,45,14,45,9,4,1,0,93,75,17,75,15,2,0,0,689,49,73,49,49,22,1,1,171,76,16,76,9,7,0,0
55,30.5,78.5,169,48,11,48,7,4,0,0,81,76,16,76,14,2,0,0,670,56,66,56,43,22,1,0,129,76,16,76,12,4,0,0
56,30.5,78.75,170,47,12,47,6,6,0,0,122,72,20,72,16,4,0,0,1265,25,97,25,54,41,2,0,108,75,17,75,13,4,0,0
57,30.5,79.0,290,47,12,47,5,5,2,0,136,75,17,75,12,5,0,0,1860,39,83,39,36,37,9,1,108,77,15,77,11,4,0,0
58,30.5,79.25,88,47,12,47,8,4,0,0,94,70,22,70,20,2,0,0,860,35,87,35,56,30,1,0,68,74,18,74,17,1,0,0
59,30.5,79.5,62,48,11,48,9,2,0,0,88,73,19,73,16,3,0,0,727,38,84,38,58,25,1,0,56,76,16,76,15,1,0,0
60,30.5,79.75,87,47,12,47,8,4,0,0,88,70,22,70,20,2,0,0,825,35,87,35,56,30,1,0,68,68,24,68,23,1,0,0
61,30.5,80.0,76,45,14,45,11,3,0,0,94,69,23,69,21,2,0,0,765,34,88,34,60,27,1,0,68,72,20,72,20,0,0,0
62,30.5,80.25,101,47,12,47,9,3,0,0,80,74,18,74,15,3,0,0,1052,36,86,36,50,34,2,0,68,73,19,73,19,0,0,0
63,30.75,77.75,46,55,4,55,2,2,0,0,2,90,2,90,2,0,0,0,1045,73,49,73,22,22,3,2,6,87,5,87,5,0,0,0
64,30.75,78.0,142,46,13,46,8,5,0,0,61,75,17,75,15,2,0,0,966,42,80,42,45,33,2,0,88,80,12,80,7,5,0,0
65,30.75,78.25,153,47,12,47,8,4,0,0,105,77,15,77,12,3,0,0,933,54,68,54,38,28,2,0,164,77,15,77,8,7,0,0
66,30.75,78.5,121,48,11,48,7,4,0,0,111,69,23,69,21,2,0,0,817,42,80,42,51,28,1,0,153,75,17,75,10,7,0,0
67,30.75,78.75,111,49,10,49,7,3,0,0,142,70,22,70,17,5,0,0,889,31,91,31,62,29,0,0,144,74,18,74,12,6,0,0
68,30.75,79.0,186,47,12,47,6,5,1,0,135,68,24,68,21,3,0,0,1287,26,96,26,56,36,4,0,112,72,20,72,17,3,0,0
69,30.75,79.25,103,46,13,46,9,4,0,0,96,70,22,70,20,2,0,0,915,34,88,34,53,34,1,0,69,74,18,74,17,1,0,0
70,30.75,79.5,79,47,12,47,9,3,0,0,94,70,22,70,20,2,0,0,808,35,87,35,59,27,1,0,63,74,18,74,17,1,0,0
71,30.75,79.75,85,47,12,47,9,3,0,0,90,70,22,70,20,2,0,0,835,35,87,35,57,29,1,0,69,68,24,68,23,1,0,0
72,30.75,80.0,65,46,13,46,11,2,0,0,90,71,21,71,19,2,0,0,818,29,93,29,61,31,1,0,72,69,23,69,23,0,0,0
73,31.0,78.0,123,45,14,45,11,3,0,0,115,63,29,63,26,3,0,0,697,47,75,47,47,28,0,0,54,74,18,74,18,0,0,0
74,31.0,78.25,136,46,13,46,9,4,0,0,116,67,25,67,22,3,0,0,814,46,76,46,48,27,1,0,133,72,20,72,13,7,0,0
75,31.0,78.5,108,47,12,47,8,4,0,0,130,66,26,66,22,4,0,0,769,39,83,39,57,25,1,0,140,72,20,72,15,5,0,0
76,31.0,78.75,108,48,11,48,8,3,0,0,134,69,23,69,18,5,0,0,862,32,90,32,60,30,0,0,144,73,19,73,13,6,0,0
77,31.0,79.0,120,45,14,45,10,4,0,0,129,67,25,67,21,4,0,0,964,26,96,26,59,37,0,0,127,72,20,72,15,5,0,0
78,31.0,79.25,121,47,12,47,8,4,0,0,116,67,25,67,23,2,0,0,1006,24,98,24,62,35,1,0,92,72,20,72,18,2,0,0
79,31.0,79.5,102,46,13,46,9,4,0,0,95,70,22,70,20,2,0,0,904,34,88,34,54,33,1,0,73,74,18,74,17,1,0,0
80,31.0,79.75,83,47,12,47,9,3,0,0,94,70,22,70,20,2,0,0,830,35,87,35,58,28,1,0,76,71,21,71,20,1,0,0
81,31.25,78.25,234,39,20,39,14,4,2,0,318,55,37,55,28,8,0,1,316,63,59,63,52,6,1,0,82,71,21,71,18,3,0,0
82,31.25,79.0,112,47,12,47,8,4,0,0,131,66,26,66,22,4,0,0,939,25,97,25,61,36,0,0,133,72,20,72,14,6,0,0
