FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,53,48,11,48,10,1,0,0,141,72,20,72,15,5,0,0,1430,60,62,60,30,23,7,2,40,84,8,84,7,1,0,0
1,29.0,79.25,46,50,9,50,7,2,0,0,238,64,28,64,18,10,0,0,1341,63,59,63,28,23,5,3,43,84,8,84,5,3,0,0
2,29.0,79.5,28,50,9,50,9,0,0,0,209,64,28,64,19,9,0,0,646,70,52,70,33,16,3,0,18,87,5,87,5,0,0,0
3,29.0,79.75,55,44,15,44,14,1,0,0,161,69,23,69,18,5,0,0,993,62,60,62,29,27,4,0,35,84,8,84,7,1,0,0
4,29.0,80.0,81,40,19,40,17,2,0,0,154,66,26,66,21,5,0,0,1241,57,65,57,29,27,9,0,42,82,10,82,9,1,0,0
5,29.25,79.0,44,48,11,48,10,1,0,0,274,64,28,64,16,12,0,0,978,61,61,61,30,27,4,0,22,88,4,88,4,0,0,0
6,29.25,79.25,53,48,11,48,9,2,0,0,313,60,32,60,20,11,1,0,1199,55,67,55,36,25,6,0,33,83,9,83,9,0,0,0
7,29.25,79.5,72,40,19,40,18,1,0,0,327,58,34,58,23,10,1,0,1117,47,75,47,45,24,5,1,46,78,14,78,14,0,0,0
8,29.25,79.75,141,38,21,38,17,4,0,0,286,56,36,56,24,11,1,0,913,49,73,49,44,24,5,0,46,81,11,81,10,1,0,0
9,29.25,80.0,150,42,17,42,11,6,0,0,233,55,37,55,28,9,0,0,946,49,73,49,46,21,6,0,46,80,12,80,11,1,0,0
10,29.25,80.25,118,42,17,42,13,4,0,0,227,54,38,54,29,9,0,0,1668,37,85,37,35,44,5,1,49,79,13,79,12,1,0,0
11,29.5,78.75,98,47,12,47,10,1,1,0,246,61,31,61,20,11,0,0,1015,65,57,65,26,28,2,1,27,83,9,83,9,0,0,0
12,29.5,79.0,75,47,12,47,10,2,0,0,323,57,35,57,22,12,1,0,1221,60,62,60,31,24,7,0,26,84,8,84,8,0,0,0
13,29.5,79.25,150,39,20,39,15,5,0,0,371,56,36,56,23,12,1,0,1170,49,73,49,34,36,2,1,42,82,10,82,9,1,0,0
14,29.5,79.5,88,41,18,41,15,3,0,0,371,58,34,58,20,13,1,0,780,50,72,50,49,21,1,1,56,82,10,82,7,3,0,0
15,29.5,79.75,133,39,20,39,16,4,0,0,341,51,41,51,27,13,1,0,834,42,80,42,57,22,1,0,48,82,10,82,9,1,0,0
16,29.5,80.0,116,43,16,43,12,4,0,0,264,52,40,52,28,12,0,0,918,41,81,41,49,30,2,0,46,85,7,85,6,1,0,0
17,29.5,80.25,111,42,17,42,13,4,0,0,232,52,40,52,30,10,0,0,1787,31,91,31,33,52,5,1,54,79,13,79,12,1,0,0
18,29.75,78.0,71,46,13,46,11,2,0,0,215,68,24,68,16,7,1,0,690,68,54,68,34,18,2,0,12,87,5,87,5,0,0,0
19,29.75,78.25,47,47,12,47,10,2,0,0,209,73,19,73,11,7,1,0,801,69,53,69,28,22,3,0,21,89,3,89,2,1,0,0
20,29.75,78.5,49,50,9,50,8,1,0,0,262,69,23,69,11,11,1,0,1177,69,53,69,20,27,6,0,61,89,3,89,1,2,0,0
21,29.75,78.75,63,43,16,43,15,1,0,0,279,59,33,59,23,10,0,0,1199,55,67,55,26,38,2,1,43,84,8,84,7,1,0,0
22,29.75,79.0,92,42,17,42,14,3,0,0,324,55,37,55,24,13,0,0,1121,51,71,51,40,27,4,0,32,87,5,87,4,1,0,0
23,29.75,79.25,100,41,18,41,15,3,0,0,340,55,37,55,23,13,1,0,806,53,69,53,39,29,1,0,41,85,7,85,6,1,0,0
24,29.75,79.5,110,40,19,40,15,4,0,0,303,56,36,56,25,10,1,0,712,50,72,50,50,20,2,0,55,85,7,85,4,3,0,0
25,29.75,79.75,98,41,18,41,15,3,0,0,252,54,38,54,27,11,0,0,1513,34,88,34,42,41,4,1,54,81,11,81,10,1,0,0
26,29.75,80.0,98,44,15,44,11,4,0,0,183,58,34,58,25,9,0,0,2116,36,86,36,31,46,5,4,51,81,11,81,10,1,0,0
27,29.75,80.25,106,43,16,43,12,4,0,0,279,53,39,53,27,12,0,0,2088,35,87,35,25,53,7,2,61,80,12,80,12,0,0,0
28,30.0,77.75,65,46,13,46,11,2,0,0,220,64,28,64,21,7,0,0,453,67,55,67,40,14,1,0,19,86,6,86,5,1,0,0
29,30.0,78.0,112,46,13,46,10,3,0,0,247,68,24,68,15,8,1,0,740,63,59,63,32,25,2,0,11,87,5,87,5,0,0,0
30,30.0,78.25,145,39,20,39,17,3,0,0,268,65,27,65,16,10,1,0,791,55,67,55,34,32,1,0,39,85,7,85,6,1,0,0
31,30.0,78.5,79,41,18,41,14,4,0,0,269,59,33,59,23,9,1,0,822,60,62,60,32,29,1,0,63,89,3,89,1,1,1,0
32,30.0,78.75,82,36,23,36,22,1,0,0,265,59,33,59,22,11,0,0,768,61,61,61,32,28,0,1,60,90,2,90,1,0,1,0
33,30.0,79.0,118,27,32,27,30,2,0,0,284,52,40,52,32,8,0,0,726,50,72,50,41,31,0,0,41,82,10,82,10,0,0,0
34,30.0,79.25,125,28,31,28,28,3,0,0,267,54,38,54,30,8,0,0,617,48,74,48,55,19,0,0,41,84,8,84,7,1,0,0
35,30.0,79.5,111,33,26,33,23,3,0,0,236,55,37,55,28,9,0,0,608,48,74,48,56,17,1,0,49,82,10,82,8,2,0,0
36,30.0,79.75,71,42,17,42,15,2,0,0,124,57,35,57,32,3,0,0,1288,39,83,39,39,39,5,0,31,82,10,82,9,1,0,0
37,30.0,80.0,48,48,11,48,9,2,0,0,42,69,23,69,23,0,0,0,1017,43,79,43,48,26,5,0,16,83,9,83,9,0,0,0
38,30.0,80.25,90,45,14,45,12,2,0,0,234,54,38,54,27,11,0,0,1553,36,86,36,32,49,5,0,45,81,11,81,11,0,0,0
39,30.0,80.5,99,43,16,43,13,3,0,0,267,53,39,53,27,12,0,0,1730,36,86,36,27,54,5,0,51,81,11,81,11,0,0,0
40,30.25,78.0,172,39,20,39,15,5,0,0,335,48,44,48,31,13,0,0,1094,50,72,50,33,35,4,0,28,87,5,87,4,1,0,0
41,30.25,78.25,178,37,22,37,17,5,0,0,292,57,35,57,25,10,0,0,593,63,59,63,34,25,0,0,60,87,5,87,4,1,0,0
42,30.25,78.5,116,34,25,34,22,3,0,0,263,55,37,55,27,10,0,0,503,69,53,69,33,19,1,0,67,89,3,89,2,0,1,0
43,30.25,78.75,102,35,24,35,21,3,0,0,268,58,34,58,24,10,0,0,577,63,59,63,36,22,0,1,61,86,6,86,5,0,1,0
44,30.25,79.0,131,31,28,31,24,4,0,0,257,61,31,61,22,9,0,0,546,52,70,52,51,19,0,0,41,84,8,84,7,1,0,0
45,30.25,79.25,130,28,31,28,27,4,0,0,271,62,30,62,23,7,0,0,713,45,77,45,51,25,1,0,47,84,8,84,7,1,0,0
46,30.25,79.5,118,34,25,34,20,5,0,0,249,63,29,63,20,9,0,0,745,51,71,51,44,26,1,0,33,84,8,84,7,1,0,0
47,30.25,79.75,72,42,17,42,15,2,0,0,109,62,30,62,29,1,0,0,927,45,77,45,41,35,1,0,23,84,8,84,8,0,0,0
48,30.25,80.0,55,47,12,47,10,2,0,0,67,62,30,62,30,0,0,0,1077,41,81,41,46,30,5,0,17,82,10,82,10,0,0,0
49,30.25,80.25,66,44,15,44,13,2,0,0,115,58,34,58,33,1,0,0,1284,39,83,39,37,41,5,0,25,81,11,81,11,0,0,0
50,30.25,80.5,85,43,16,43,14,2,0,0,197,54,38,54,29,9,0,0,1601,36,86,36,31,50,5,0,40,81,11,81,11,0,0,0
