FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,11,57,2,57,2,0,0,0,65,83,9,83,7,2,0,0,2007,44,78,44,31,37,8,2,110,89,3,89,0,2,1,0
1,29.0,79.25,2,58,1,58,1,0,0,0,54,81,11,81,10,1,0,0,1759,51,71,51,28,30,12,1,23,88,4,88,3,1,0,0
2,29.0,79.5,2,57,2,57,2,0,0,0,28,78,14,78,14,0,0,0,1793,39,83,39,35,38,8,2,20,87,5,87,4,1,0,0
3,29.0,79.75,8,56,3,56,3,0,0,0,47,81,11,81,9,2,0,0,1757,40,82,40,34,42,5,1,79,89,3,89,0,3,0,0
4,29.0,80.0,11,55,4,55,4,0,0,0,53,83,9,83,7,2,0,0,1825,39,83,39,38,36,7,2,86,89,3,89,0,3,0,0
5,29.25,79.0,1,58,1,58,1,0,0,0,23,78,14,78,14,0,0,0,536,52,70,52,51,19,0,0,10,87,5,87,5,0,0,0
6,29.25,79.25,9,54,5,54,5,0,0,0,49,73,19,73,19,0,0,0,925,53,69,53,38,29,2,0,19,86,6,86,6,0,0,0
7,29.25,79.5,23,51,8,51,8,0,0,0,67,66,26,66,25,1,0,0,1219,43,79,43,40,34,5,0,14,87,5,87,5,0,0,0
8,29.25,79.75,23,52,7,52,7,0,0,0,74,65,27,65,27,0,0,0,1695,38,84,38,37,41,5,1,36,87,5,87,3,2,0,0
9,29.25,80.0,19,52,7,52,7,0,0,0,65,70,22,70,21,1,0,0,1677,38,84,38,38,39,6,1,62,88,4,88,1,3,0,0
10,29.25,80.25,56,40,19,40,18,1,0,0,80,66,26,66,25,1,0,0,1733,39,83,39,39,36,7,1,72,88,4,88,1,3,0,0
11,29.5,78.75,0,59,0,59,0,0,0,0,9,85,7,85,7,0,0,0,586,55,67,55,44,23,0,0,8,87,5,87,5,0,0,0
12,29.5,79.0,0,59,0,59,0,0,0,0,1,91,1,91,1,0,0,0,375,76,46,76,35,10,1,0,6,89,3,89,3,0,0,0
13,29.5,79.25,14,53,6,53,6,0,0,0,38,72,20,72,20,0,0,0,453,63,59,63,46,12,1,0,8,88,4,88,4,0,0,0
14,29.5,79.5,33,51,8,51,7,1,0,0,87,67,25,67,22,3,0,0,724,45,77,45,51,26,0,0,10,88,4,88,4,0,0,0
15,29.5,79.75,59,36,23,36,23,0,0,0,131,54,38,54,36,2,0,0,1125,41,81,41,41,38,1,1,17,87,5,87,5,0,0,0
