FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,88,50,9,50,3,6,0,0,71,79,13,79,11,2,0,0,1115,63,59,63,30,24,2,3,137,86,6,86,3,2,1,0
1,29.0,79.25,214,47,12,47,8,2,2,0,80,82,10,82,6,4,0,0,807,71,51,71,32,15,3,1,98,87,5,87,3,2,0,0
2,29.0,79.5,188,46,13,46,8,3,2,0,75,82,10,82,7,3,0,0,998,61,61,61,34,23,2,2,94,86,6,86,4,2,0,0
3,29.0,79.75,120,48,11,48,6,5,0,0,77,75,17,75,15,2,0,0,863,64,58,64,33,21,3,1,126,85,7,85,3,3,1,0
4,29.0,80.0,109,48,11,48,5,6,0,0,82,73,19,73,17,2,0,0,960,60,62,60,35,23,2,2,136,86,6,86,2,3,1,0
5,29.25,79.0,98,47,12,47,8,4,0,0,69,80,12,80,9,3,0,0,642,58,64,58,47,14,2,1,97,84,8,84,6,1,1,0
6,29.25,79.25,137,46,13,46,8,4,1,0,75,80,12,80,8,4,0,0,1539,56,66,56,28,31,2,5,109,85,7,85,5,1,1,0
7,29.25,79.5,169,45,14,45,9,4,1,0,103,73,19,73,16,3,0,0,1314,53,69,53,35,27,5,2,145,79,13,79,10,1,2,0
8,29.25,79.75,167,46,13,46,7,5,1,0,134,70,22,70,17,5,0,0,773,59,63,59,45,13,3,2,149,85,7,85,3,4,0,0
9,29.25,80.0,155,46,13,46,8,4,1,0,133,68,24,68,20,4,0,0,768,58,64,58,45,15,2,2,148,85,7,85,3,4,0,0
10,29.25,80.25,139,46,13,46,10,3,0,0,145,66,26,66,22,4,0,0,824,55,67,55,42,21,3,1,141,84,8,84,4,4,0,0
11,29.5,78.75,111,48,11,48,7,4,0,0,80,77,15,77,12,3,0,0,676,73,49,73,31,14,3,1,90,85,7,85,5,2,0,0
12,29.5,79.0,143,46,13,46,9,4,0,0,112,72,20,72,17,3,0,0,1038,53,69,53,38,25,5,1,96,86,6,86,4,1,1,0
13,29.5,79.25,150,46,13,46,9,4,0,0,118,68,24,68,21,3,0,0,1255,53,69,53,36,27,4,2,109,84,8,84,6,1,1,0
14,29.5,79.5,197,44,15,44,10,4,1,0,147,70,22,70,19,3,0,0,923,64,58,64,36,17,3,2,176,81,11,81,8,1,2,0
15,29.5,79.75,159,45,14,45,10,4,0,0,144,64,28,64,24,4,0,0,755,63,59,63,38,17,3,1,146,83,9,83,5,3,1,0
16,29.5,80.0,142,47,12,47,9,3,0,0,174,68,24,68,20,4,0,0,798,71,51,71,32,15,3,1,136,84,8,84,4,4,0,0
17,29.5,80.25,147,46,13,46,10,3,0,0,165,60,32,60,28,4,0,0,801,47,75,47,54,19,1,1,133,83,9,83,5,4,0,0
18,29.75,78.0,175,49,10,49,4,6,0,0,85,75,17,75,13,4,0,0,811,60,62,60,38,19,4,1,31,84,8,84,8,0,0,0
19,29.75,78.25,137,49,10,49,5,5,0,0,67,78,14,78,12,2,0,0,923,67,55,67,28,22,4,1,29,86,6,86,5,1,0,0
20,29.75,78.5,85,49,10,49,8,2,0,0,62,78,14,78,13,1,0,0,949,71,51,71,26,20,4,1,37,89,3,89,1,2,0,0
21,29.75,78.75,108,47,12,47,8,4,0,0,73,71,21,71,19,2,0,0,808,61,61,61,38,20,3,0,33,89,3,89,2,1,0,0
22,29.75,79.0,148,45,14,45,9,5,0,0,115,69,23,69,20,3,0,0,906,54,68,54,41,22,4,1,88,83,9,83,7,2,0,0
23,29.75,79.25,159,47,12,47,6,6,0,0,142,71,21,71,17,4,0,0,722,69,53,69,33,16,3,1,88,85,7,85,5,2,0,0
24,29.75,79.5,140,45,14,45,10,4,0,0,114,70,22,70,19,3,0,0,712,75,47,75,29,15,2,1,119,84,8,84,4,4,0,0
25,29.75,79.75,139,46,13,46,9,4,0,0,131,66,26,66,21,5,0,0,746,67,55,67,35,17,2,1,126,84,8,84,3,5,0,0
26,29.75,80.0,141,43,16,43,12,4,0,0,177,59,33,59,29,4,0,0,869,38,84,38,61,20,3,0,124,82,10,82,6,4,0,0
27,29.75,80.25,145,42,17,42,12,5,0,0,180,57,35,57,30,5,0,0,930,29,93,29,67,23,3,0,113,82,10,82,7,3,0,0
28,30.0,77.75,155,48,11,48,5,6,0,0,73,74,18,74,15,3,0,0,788,52,70,52,49,17,4,0,45,81,11,81,10,1,0,0
29,30.0,78.0,208,49,10,49,3,6,1,0,75,76,16,76,14,2,0,0,949,59,63,59,37,22,3,1,42,83,9,83,8,1,0,0
30,30.0,78.25,165,48,11,48,4,6,1,0,84,70,22,70,19,3,0,0,962,57,65,57,35,27,2,1,34,85,7,85,6,1,0,0
31,30.0,78.5,115,48,11,48,7,4,0,0,93,68,24,68,22,2,0,0,777,68,54,68,27,23,4,0,34,88,4,88,3,1,0,0
32,30.0,78.75,113,50,9,50,5,4,0,0,146,68,24,68,19,5,0,0,577,63,59,63,39,20,0,0,55,85,7,85,6,1,0,0
