FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,5,57,2,57,2,0,0,0,86,80,12,80,9,3,0,0,1658,43,79,43,39,29,8,3,36,88,4,88,2,2,0,0
1,29.0,79.25,3,58,1,58,1,0,0,0,61,81,11,81,10,1,0,0,1553,49,73,49,33,32,6,2,9,90,2,90,2,0,0,0
2,29.0,79.5,4,57,2,57,2,0,0,0,64,79,13,79,12,1,0,0,1580,45,77,45,34,33,8,2,13,88,4,88,4,0,0,0
3,29.0,79.75,5,57,2,57,2,0,0,0,47,79,13,79,12,1,0,0,1545,46,76,46,43,24,6,3,41,88,4,88,3,1,0,0
4,29.0,80.0,6,56,3,56,3,0,0,0,68,78,14,78,12,2,0,0,1581,40,82,40,39,33,8,2,36,88,4,88,3,1,0,0
5,29.25,79.0,5,57,2,57,2,0,0,0,108,81,11,81,6,5,0,0,1110,40,82,40,45,34,2,1,15,90,2,90,2,0,0,0
6,29.25,79.25,2,58,1,58,1,0,0,0,112,80,12,80,7,5,0,0,1507,37,85,37,41,37,6,1,31,89,3,89,1,2,0,0
7,29.25,79.5,8,54,5,54,5,0,0,0,129,73,19,73,13,6,0,0,1464,30,92,30,45,42,4,1,25,89,3,89,1,2,0,0
8,29.25,79.75,19,49,10,49,10,0,0,0,110,62,30,62,28,2,0,0,1198,30,92,30,60,26,6,0,24,88,4,88,3,1,0,0
9,29.25,80.0,32,49,10,49,10,0,0,0,135,61,31,61,27,4,0,0,1171,30,92,30,59,29,4,0,17,86,6,86,5,1,0,0
10,29.25,80.25,37,49,10,49,10,0,0,0,135,55,37,55,35,2,0,0,1348,24,98,24,60,31,7,0,22,85,7,85,7,0,0,0
11,29.5,78.75,12,54,5,54,5,0,0,0,139,79,13,79,8,5,0,0,1243,44,78,44,40,33,4,1,7,89,3,89,3,0,0,0
12,29.5,79.0,8,54,5,54,5,0,0,0,112,79,13,79,9,4,0,0,1096,42,80,42,44,34,2,0,19,89,3,89,2,1,0,0
13,29.5,79.25,5,55,4,55,4,0,0,0,153,69,23,69,19,4,0,0,1406,31,91,31,52,34,5,0,54,89,3,89,1,2,0,0
14,29.5,79.5,15,54,5,54,5,0,0,0,153,73,19,73,13,6,0,0,941,34,88,34,52,36,0,0,28,88,4,88,3,1,0,0
15,29.5,79.75,31,49,10,49,10,0,0,0,167,60,32,60,27,5,0,0,866,26,96,26,67,29,0,0,20,87,5,87,5,0,0,0
16,29.5,80.0,58,50,9,50,7,2,0,0,185,60,32,60,27,5,0,0,833,35,87,35,59,27,1,0,30,89,3,89,2,1,0,0
17,29.5,80.25,72,49,10,49,7,3,0,0,219,54,38,54,34,4,0,0,1391,27,95,27,50,40,5,0,46,87,5,87,2,3,0,0
18,29.75,78.0,13,52,7,52,7,0,0,0,262,78,14,78,10,2,1,1,1245,48,74,48,41,27,5,1,18,88,4,88,4,0,0,0
19,29.75,78.25,17,50,9,50,9,0,0,0,348,79,13,79,9,1,2,1,1186,36,86,36,50,32,4,0,19,89,3,89,2,1,0,0
20,29.75,78.5,21,50,9,50,9,0,0,0,104,78,14,78,10,4,0,0,1303,39,83,39,43,35,5,0,26,89,3,89,2,1,0,0
21,29.75,78.75,38,48,11,48,10,1,0,0,135,72,20,72,15,5,0,0,1256,31,91,31,48,39,4,0,17,88,4,88,4,0,0,0
22,29.75,79.0,36,49,10,49,9,1,0,0,145,72,20,72,15,5,0,0,1074,36,86,36,49,34,3,0,25,89,3,89,2,1,0,0
23,29.75,79.25,23,51,8,51,8,0,0,0,179,72,20,72,14,5,1,0,965,32,90,32,55,31,4,0,45,86,6,86,5,1,0,0
24,29.75,79.5,22,51,8,51,8,0,0,0,175,71,21,71,16,5,0,0,904,30,92,30,59,33,0,0,41,86,6,86,4,2,0,0
25,29.75,79.75,44,47,12,47,12,0,0,0,182,57,35,57,30,5,0,0,816,27,95,27,68,27,0,0,45,87,5,87,3,2,0,0
26,29.75,80.0,71,49,10,49,7,3,0,0,205,53,39,53,35,4,0,0,1121,29,93,29,53,38,2,0,58,87,5,87,2,3,0,0
27,29.75,80.25,74,50,9,50,7,2,0,0,259,63,29,63,19,10,0,0,1986,34,88,34,32,47,6,3,63,86,6,86,3,3,0,0
28,30.0,77.75,23,51,8,51,8,0,0,0,98,80,12,80,8,4,0,0,1308,40,82,40,46,29,6,1,18,87,5,87,5,0,0,0
29,30.0,78.0,14,54,5,54,5,0,0,0,102,78,14,78,11,3,0,0,1410,47,75,47,38,29,6,2,22,88,4,88,4,0,0,0
30,30.0,78.25,26,48,11,48,11,0,0,0,128,75,17,75,13,4,0,0,1538,31,91,31,43,40,8,0,61,87,5,87,1,4,0,0
31,30.0,78.5,44,50,9,50,7,2,0,0,172,70,22,70,15,7,0,0,1105,29,93,29,57,35,1,0,28,86,6,86,6,0,0,0
32,30.0,78.75,81,47,12,47,8,4,0,0,278,66,26,66,17,9,0,0,1136,32,90,32,52,37,1,0,20,87,5,87,5,0,0,0
33,30.0,79.0,79,47,12,47,9,3,0,0,228,63,29,63,23,6,0,0,868,28,94,28,59,35,0,0,20,88,4,88,4,0,0,0
34,30.0,79.25,90,46,13,46,10,3,0,0,247,62,30,62,23,6,1,0,858,35,87,35,53,34,0,0,45,84,8,84,8,0,0,0
35,30.0,79.5,69,47,12,47,10,2,0,0,218,64,28,64,22,5,1,0,821,30,92,30,60,32,0,0,65,84,8,84,5,3,0,0
36,30.0,79.75,63,47,12,47,9,3,0,0,210,53,39,53,33,6,0,0,1143,20,102,20,59,42,1,0,85,83,9,83,6,3,0,0
37,30.0,80.0,74,47,12,47,9,3,0,0,235,53,39,53,33,6,0,0,1547,27,95,27,46,43,5,1,81,83,9,83,6,3,0,0
38,30.0,80.25,73,50,9,50,7,2,0,0,257,63,29,63,19,10,0,0,1963,34,88,34,32,47,6,3,73,83,9,83,6,3,0,0
39,30.0,80.5,76,49,10,49,7,3,0,0,257,62,30,62,20,10,0,0,1927,34,88,34,33,46,7,2,66,88,4,88,1,3,0,0
40,30.25,78.0,45,50,9,50,7,2,0,0,143,68,24,68,19,5,0,0,1633,26,96,26,47,41,8,0,49,86,6,86,2,4,0,0
41,30.25,78.25,54,51,8,51,7,1,0,0,184,68,24,68,18,6,0,0,1333,23,99,23,58,37,4,0,73,86,6,86,2,4,0,0
42,30.25,78.5,64,49,10,49,7,3,0,0,256,68,24,68,14,10,0,0,957,34,88,34,54,32,2,0,26,87,5,87,4,1,0,0
43,30.25,78.75,99,46,13,46,9,4,0,0,300,65,27,65,19,8,0,0,1022,33,89,33,52,36,1,0,20,88,4,88,3,1,0,0
44,30.25,79.0,102,47,12,47,8,4,0,0,260,62,30,62,21,8,1,0,847,38,84,38,51,33,0,0,34,83,9,83,8,1,0,0
45,30.25,79.25,109,46,13,46,9,4,0,0,269,57,35,57,27,7,1,0,949,29,93,29,56,37,0,0,78,81,11,81,7,4,0,0
46,30.25,79.5,113,44,15,44,11,4,0,0,308,58,34,58,26,7,1,0,795,38,84,38,50,34,0,0,125,82,10,82,2,8,0,0
47,30.25,79.75,110,44,15,44,11,4,0,0,310,58,34,58,26,7,1,0,798,36,86,36,52,34,0,0,130,82,10,82,3,7,0,0
48,30.25,80.0,87,47,12,47,8,4,0,0,262,50,42,50,34,8,0,0,1433,27,95,27,48,42,4,1,103,84,8,84,3,5,0,0
49,30.25,80.25,77,47,12,47,9,3,0,0,253,56,36,56,27,9,0,0,1739,31,91,31,37,47,6,1,89,83,9,83,6,3,0,0
50,30.25,80.5,76,49,10,49,7,3,0,0,256,58,34,58,25,9,0,0,1861,32,90,32,35,48,5,2,72,84,8,84,5,3,0,0
51,30.25,80.75,76,49,10,49,7,3,0,0,256,62,30,62,20,10,0,0,1940,34,88,34,33,46,7,2,65,89,3,89,0,3,0,0
52,30.25,81.0,74,50,9,50,7,2,0,0,264,65,27,65,17,10,0,0,2040,34,88,34,31,47,6,4,65,89,3,89,0,3,0,0
53,30.5,78.0,119,46,13,46,6,7,0,0,249,62,30,62,21,9,0,0,1252,23,99,23,46,51,1,1,58,84,8,84,5,3,0,0
54,30.5,78.25,89,48,11,48,6,5,0,0,291,54,38,54,30,7,1,0,1080,24,98,24,61,35,2,0,92,83,9,83,6,3,0,0
55,30.5,78.5,84,49,10,49,5,5,0,0,247,58,34,58,29,5,0,0,983,34,88,34,53,32,3,0,84,83,9,83,6,3,0,0
56,30.5,78.75,102,47,12,47,7,5,0,0,346,47,45,47,35,9,1,0,1341,18,104,18,57,47,0,0,89,82,10,82,7,3,0,0
57,30.5,79.0,122,46,13,46,8,5,0,0,367,55,37,55,27,9,1,0,1719,28,94,28,45,41,8,0,110,81,11,81,8,3,0,0
58,30.5,79.25,129,45,14,45,10,4,0,0,333,58,34,58,26,7,1,0,936,30,92,30,59,33,0,0,135,81,11,81,4,7,0,0
59,30.5,79.5,132,45,14,45,10,4,0,0,329,65,27,65,19,7,1,0,799,41,81,41,52,29,0,0,160,82,10,82,2,8,0,0
60,30.5,79.75,124,45,14,45,10,4,0,0,333,58,34,58,26,7,1,0,924,27,95,27,60,35,0,0,154,81,11,81,3,8,0,0
61,30.5,80.0,109,44,15,44,10,5,0,0,302,60,32,60,24,7,1,0,1014,28,94,28,57,37,0,0,150,82,10,82,2,8,0,0
62,30.5,80.25,83,47,12,47,9,3,0,0,280,57,35,57,26,8,1,0,1632,31,91,31,42,42,6,1,135,84,8,84,0,8,0,0
63,30.75,77.75,165,43,16,43,12,4,0,0,258,67,25,67,15,10,0,0,1627,33,89,33,43,37,8,1,121,85,7,85,3,3,1,0
64,30.75,78.0,133,42,17,42,12,5,0,0,312,67,25,67,16,8,1,0,1369,33,89,33,45,38,5,1,158,83,9,83,5,3,1,0
65,30.75,78.25,113,49,10,49,4,6,0,0,294,66,26,66,16,10,0,0,1359,46,76,46,37,34,4,1,96,83,9,83,6,3,0,0
66,30.75,78.5,86,46,13,46,8,5,0,0,267,60,32,60,24,8,0,0,1087,29,93,29,50,42,1,0,93,81,11,81,8,3,0,0
67,30.75,78.75,93,47,12,47,7,5,0,0,315,53,39,53,30,8,1,0,1069,23,99,23,55,44,0,0,106,82,10,82,7,3,0,0
68,30.75,79.0,121,46,13,46,9,4,0,0,346,50,42,50,34,7,1,0,1273,23,99,23,52,46,1,0,107,81,11,81,8,3,0,0
69,30.75,79.25,129,45,14,45,10,4,0,0,338,56,36,56,28,7,1,0,992,29,93,29,54,39,0,0,120,80,12,80,6,6,0,0
70,30.75,79.5,129,45,14,45,10,4,0,0,338,58,34,58,26,7,1,0,891,30,92,30,60,32,0,0,163,81,11,81,3,8,0,0
71,30.75,79.75,126,45,14,45,10,4,0,0,336,58,34,58,26,7,1,0,920,29,93,29,58,35,0,0,161,81,11,81,3,8,0,0
72,30.75,80.0,125,44,15,44,11,4,0,0,332,60,32,60,24,7,1,0,978,28,94,28,60,34,0,0,166,81,11,81,3,8,0,0
73,31.0,78.0,121,44,15,44,8,7,0,0,362,63,29,63,19,9,1,0,992,44,78,44,44,30,3,1,218,82,10,82,4,5,1,0
74,31.0,78.25,104,45,14,45,8,6,0,0,349,58,34,58,25,9,0,0,1077,41,81,41,48,32,1,0,183,82,10,82,4,5,1,0
75,31.0,78.5,81,47,12,47,8,4,0,0,297,57,35,57,26,9,0,0,1070,29,93,29,50,42,1,0,114,80,12,80,9,3,0,0
76,31.0,78.75,95,46,13,46,8,5,0,0,308,54,38,54,29,9,0,0,1072,23,99,23,54,44,1,0,106,82,10,82,7,3,0,0
77,31.0,79.0,113,46,13,46,9,4,0,0,341,53,39,53,31,7,1,0,1041,24,98,24,53,45,0,0,110,81,11,81,8,3,0,0
78,31.0,79.25,125,44,15,44,11,4,0,0,344,52,40,52,32,7,1,0,1053,25,97,25,58,39,0,0,119,80,12,80,7,5,0,0
79,31.0,79.5,129,45,14,45,10,4,0,0,336,56,36,56,28,7,1,0,979,29,93,29,55,38,0,0,159,81,11,81,3,8,0,0
80,31.0,79.75,129,45,14,45,10,4,0,0,336,58,34,58,26,7,1,0,913,30,92,30,59,33,0,0,167,81,11,81,3,8,0,0
81,31.25,78.25,73,47,12,47,9,3,0,0,259,60,32,60,23,9,0,0,583,56,66,56,50,14,2,0,200,80,12,80,4,8,0,0
82,31.25,79.0,107,46,13,46,9,4,0,0,335,53,39,53,31,7,1,0,1019,25,97,25,53,44,0,0,111,82,10,82,7,3,0,0
