FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,123,52,7,52,3,4,0,0,54,83,9,83,7,2,0,0,2228,38,84,38,34,37,8,5,9,90,2,90,2,0,0,0
1,29.0,79.25,142,50,9,50,4,4,1,0,93,80,12,80,9,3,0,0,1745,45,77,45,37,31,5,4,23,89,3,89,2,1,0,0
2,29.0,79.5,144,50,9,50,5,4,0,0,77,77,15,77,12,3,0,0,1551,33,89,33,51,31,5,2,22,88,4,88,3,1,0,0
3,29.0,79.75,123,50,9,50,5,4,0,0,58,80,12,80,11,1,0,0,1985,28,94,28,49,35,7,3,14,88,4,88,4,0,0,0
4,29.0,80.0,127,50,9,50,5,4,0,0,50,82,10,82,9,1,0,0,2027,29,93,29,45,37,7,4,8,90,2,90,2,0,0,0
5,29.25,79.0,120,50,9,50,6,3,0,0,43,81,11,81,9,2,0,0,1070,44,78,44,46,28,4,0,22,86,6,86,5,1,0,0
6,29.25,79.25,163,50,9,50,4,4,1,0,90,76,16,76,13,3,0,0,1529,34,88,34,47,37,2,2,31,86,6,86,5,1,0,0
7,29.25,79.5,222,49,10,49,3,6,1,0,115,75,17,75,13,4,0,0,1195,33,89,33,52,32,5,0,38,86,6,86,5,1,0,0
8,29.25,79.75,204,50,9,50,4,4,1,0,104,75,17,75,14,3,0,0,1455,27,95,27,52,37,5,1,31,86,6,86,5,1,0,0
9,29.25,80.0,193,50,9,50,3,5,1,0,130,64,28,64,25,3,0,0,2051,18,104,18,44,51,7,2,17,88,4,88,4,0,0,0
10,29.25,80.25,186,50,9,50,2,5,2,0,148,67,25,67,20,5,0,0,2405,19,103,19,40,52,8,3,11,88,4,88,4,0,0,0
11,29.5,78.75,114,51,8,51,5,3,0,0,14,88,4,88,4,0,0,0,1029,57,65,57,34,25,6,0,25,87,5,87,4,1,0,0
12,29.5,79.0,110,52,7,52,4,3,0,0,11,88,4,88,4,0,0,0,1462,61,61,61,24,29,6,2,31,87,5,87,3,2,0,0
13,29.5,79.25,175,50,9,50,4,4,1,0,67,77,15,77,13,2,0,0,1287,40,82,40,43,32,6,1,37,86,6,86,5,1,0,0
14,29.5,79.5,265,49,10,49,3,6,0,1,138,76,16,76,12,4,0,0,980,42,80,42,52,22,6,0,48,85,7,85,6,1,0,0
15,29.5,79.75,244,47,12,47,5,6,1,0,176,61,31,61,27,4,0,0,1312,18,104,18,66,33,4,1,41,86,6,86,5,1,0,0
16,29.5,80.0,235,45,14,45,7,6,1,0,362,49,43,49,32,10,1,0,2356,12,110,12,46,52,11,1,28,87,5,87,4,1,0,0
17,29.5,80.25,241,45,14,45,7,6,1,0,351,54,38,54,27,10,1,0,2829,13,109,13,46,44,15,4,18,86,6,86,5,1,0,0
18,29.75,78.0,89,50,9,50,7,2,0,0,50,82,10,82,8,2,0,0,1340,52,70,52,35,28,6,1,33,86,6,86,4,2,0,0
19,29.75,78.25,102,51,8,51,6,2,0,0,41,86,6,86,4,2,0,0,1372,63,59,63,30,17,11,1,36,87,5,87,3,2,0,0
20,29.75,78.5,121,51,8,51,5,3,0,0,44,88,4,88,2,2,0,0,1313,66,56,66,28,18,9,1,43,86,6,86,4,2,0,0
21,29.75,78.75,114,47,12,47,8,4,0,0,66,72,20,72,17,3,0,0,1232,34,88,34,49,31,8,0,39,84,8,84,6,2,0,0
22,29.75,79.0,129,46,13,46,10,3,0,0,44,74,18,74,16,2,0,0,1391,43,79,43,43,29,5,2,38,84,8,84,6,2,0,0
23,29.75,79.25,165,47,12,47,8,3,1,0,65,75,17,75,15,2,0,0,1350,36,86,36,43,36,6,1,39,85,7,85,6,1,0,0
24,29.75,79.5,209,47,12,47,6,5,1,0,185,57,35,57,30,5,0,0,1399,19,103,19,58,40,5,0,42,84,8,84,7,1,0,0
25,29.75,79.75,241,45,14,45,7,6,1,0,318,50,42,50,33,8,1,0,1970,11,111,11,50,51,9,1,33,85,7,85,6,1,0,0
26,29.75,80.0,227,44,15,44,6,8,1,0,476,51,41,51,22,17,2,0,2685,12,110,12,41,53,13,3,25,87,5,87,4,1,0,0
27,29.75,80.25,265,46,13,46,6,5,2,0,324,57,35,57,27,7,1,0,3008,21,101,21,44,37,14,6,15,87,5,87,5,0,0,0
28,30.0,77.75,118,50,9,50,5,4,0,0,58,80,12,80,11,1,0,0,1066,35,87,35,50,32,5,0,21,86,6,86,6,0,0,0
29,30.0,78.0,117,51,8,51,6,1,1,0,86,81,11,81,10,1,0,0,1239,46,76,46,44,28,3,1,28,86,6,86,6,0,0,0
30,30.0,78.25,105,50,9,50,7,2,0,0,66,80,12,80,10,2,0,0,1283,45,77,45,45,25,6,1,36,85,7,85,5,2,0,0
31,30.0,78.5,156,45,14,45,9,5,0,0,163,68,24,68,20,4,0,0,1047,39,83,39,50,29,3,1,62,84,8,84,5,3,0,0
32,30.0,78.75,154,45,14,45,8,6,0,0,166,65,27,65,24,3,0,0,1182,32,90,32,59,27,2,2,56,84,8,84,6,2,0,0
33,30.0,79.0,145,45,14,45,9,5,0,0,166,62,30,62,27,3,0,0,1177,27,95,27,60,31,4,0,51,83,9,83,7,2,0,0
34,30.0,79.25,134,44,15,44,10,5,0,0,168,59,33,59,28,5,0,0,1093,24,98,24,65,31,2,0,45,82,10,82,9,1,0,0
35,30.0,79.5,170,45,14,45,9,4,1,0,341,49,43,49,32,10,1,0,1408,16,106,16,58,44,4,0,40,81,11,81,10,1,0,0
36,30.0,79.75,210,44,15,44,8,6,1,0,497,48,44,48,25,17,2,0,2336,11,111,11,46,53,9,3,32,86,6,86,5,1,0,0
37,30.0,80.0,195,44,15,44,9,5,1,0,638,51,41,51,22,17,2,0,2689,17,105,17,42,45,15,3,33,88,4,88,3,1,0,0
38,30.0,80.25,256,45,14,45,7,5,2,0,370,54,38,54,27,10,1,0,2972,16,106,16,47,41,14,4,17,87,5,87,4,1,0,0
39,30.0,80.5,258,45,14,45,7,5,2,0,362,54,38,54,28,9,1,0,2986,17,105,17,46,40,15,4,15,87,5,87,5,0,0,0
40,30.25,78.0,130,49,10,49,4,6,0,0,105,74,18,74,15,3,0,0,1403,29,93,29,46,44,2,1,32,85,7,85,7,0,0,0
41,30.25,78.25,168,48,11,48,3,8,0,0,171,72,20,72,12,8,0,0,1007,32,90,32,64,23,2,1,65,84,8,84,5,3,0,0
42,30.25,78.5,167,44,15,44,9,6,0,0,197,67,25,67,19,6,0,0,1090,29,93,29,62,27,3,1,62,84,8,84,5,3,0,0
43,30.25,78.75,173,45,14,45,8,5,1,0,226,65,27,65,23,3,1,0,1136,48,74,48,44,25,3,2,61,84,8,84,5,3,0,0
44,30.25,79.0,151,45,14,45,9,5,0,0,224,57,35,57,31,3,1,0,1056,28,94,28,66,25,1,2,57,83,9,83,6,3,0,0
45,30.25,79.25,108,44,15,44,10,5,0,0,263,59,33,59,27,5,1,0,776,27,95,27,70,24,1,0,43,82,10,82,9,1,0,0
46,30.25,79.5,115,43,16,43,13,3,0,0,373,49,43,49,34,8,1,0,1091,18,104,18,66,35,3,0,38,82,10,82,10,0,0,0
47,30.25,79.75,161,43,16,43,10,6,0,0,517,49,43,49,26,15,2,0,1967,15,107,15,49,48,9,1,34,83,9,83,8,1,0,0
48,30.25,80.0,192,44,15,44,9,5,1,0,626,51,41,51,22,17,2,0,2635,16,106,16,43,47,13,3,30,88,4,88,3,1,0,0
49,30.25,80.25,216,44,15,44,6,8,1,0,541,51,41,51,21,18,2,0,2773,13,109,13,42,50,13,4,26,88,4,88,3,1,0,0
50,30.25,80.5,238,45,14,45,6,7,1,0,451,50,42,50,25,15,2,0,2892,12,110,12,46,46,14,4,21,87,5,87,4,1,0,0
51,30.25,80.75,244,45,14,45,8,5,1,0,424,50,42,50,28,12,2,0,2934,14,108,14,46,42,16,4,20,87,5,87,4,1,0,0
52,30.25,81.0,254,45,14,45,8,4,2,0,379,54,38,54,25,12,1,0,2976,16,106,16,47,41,14,4,17,87,5,87,4,1,0,0
53,30.5,78.0,142,47,12,47,5,7,0,0,154,71,21,71,15,6,0,0,1158,29,93,29,51,40,2,0,42,85,7,85,6,1,0,0
54,30.5,78.25,135,49,10,49,4,6,0,0,202,72,20,72,14,6,0,0,1384,43,79,43,41,29,7,2,46,82,10,82,9,1,0,0
55,30.5,78.5,149,46,13,46,6,7,0,0,201,67,25,67,19,6,0,0,1256,36,86,36,53,28,5,0,56,83,9,83,7,2,0,0
56,30.5,78.75,164,45,14,45,8,6,0,0,213,67,25,67,20,5,0,0,1115,36,86,36,54,29,1,2,59,84,8,84,6,2,0,0
57,30.5,79.0,128,44,15,44,11,4,0,0,255,58,34,58,28,5,1,0,896,30,92,30,60,30,2,0,49,82,10,82,9,1,0,0
58,30.5,79.25,85,46,13,46,8,5,0,0,300,64,28,64,19,8,1,0,609,52,70,52,49,20,1,0,39,83,9,83,8,1,0,0
59,30.5,79.5,85,45,14,45,9,5,0,0,317,60,32,60,22,9,1,0,663,40,82,40,62,19,1,0,38,84,8,84,7,1,0,0
60,30.5,79.75,120,44,15,44,11,4,0,0,401,49,43,49,33,9,1,0,1286,16,106,16,65,37,4,0,33,83,9,83,9,0,0,0
61,30.5,80.0,164,43,16,43,9,6,1,0,528,49,43,49,24,17,2,0,2094,15,107,15,47,49,10,1,34,83,9,83,8,1,0,0
62,30.5,80.25,211,44,15,44,6,8,1,0,513,50,42,50,22,18,2,0,2679,13,109,13,41,52,12,4,25,87,5,87,4,1,0,0
63,30.75,77.75,135,45,14,45,8,6,0,0,172,63,29,63,22,7,0,0,747,38,84,38,56,28,0,0,55,83,9,83,8,1,0,0
64,30.75,78.0,122,42,17,42,13,4,0,0,177,66,26,66,20,6,0,0,737,38,84,38,57,26,1,0,35,81,11,81,10,1,0,0
65,30.75,78.25,116,48,11,48,6,5,0,0,208,67,25,67,19,6,0,0,1460,37,85,37,45,31,7,2,40,82,10,82,9,1,0,0
66,30.75,78.5,134,44,15,44,9,6,0,0,206,67,25,67,19,6,0,0,1347,33,89,33,52,30,6,1,47,82,10,82,9,1,0,0
67,30.75,78.75,150,44,15,44,8,7,0,0,213,63,29,63,22,7,0,0,1182,33,89,33,58,25,6,0,54,84,8,84,7,1,0,0
68,30.75,79.0,107,45,14,45,9,5,0,0,269,58,34,58,27,6,1,0,809,32,90,32,60,29,1,0,45,82,10,82,9,1,0,0
69,30.75,79.25,88,46,13,46,7,6,0,0,298,62,30,62,21,8,1,0,618,51,71,51,50,20,1,0,39,83,9,83,8,1,0,0
70,30.75,79.5,92,43,16,43,14,2,0,0,319,59,33,59,23,9,1,0,737,29,93,29,71,21,1,0,39,83,9,83,8,1,0,0
71,30.75,79.75,102,45,14,45,11,3,0,0,370,52,40,52,32,7,1,0,1030,21,101,21,67,31,3,0,36,83,9,83,9,0,0,0
72,30.75,80.0,143,44,15,44,8,7,0,0,466,49,43,49,27,15,1,0,1699,15,107,15,56,46,5,0,33,83,9,83,8,1,0,0
73,31.0,78.0,93,43,16,43,12,4,0,0,113,69,23,69,19,4,0,0,515,43,79,43,60,19,0,0,17,83,9,83,9,0,0,0
74,31.0,78.25,85,43,16,43,14,2,0,0,144,65,27,65,24,3,0,0,762,30,92,30,69,22,1,0,24,80,12,80,12,0,0,0
75,31.0,78.5,82,44,15,44,13,2,0,0,153,66,26,66,21,5,0,0,852,33,89,33,66,21,2,0,36,78,14,78,13,1,0,0
76,31.0,78.75,129,40,19,40,13,6,0,0,205,62,30,62,23,7,0,0,1171,28,94,28,63,27,4,0,39,82,10,82,9,1,0,0
77,31.0,79.0,104,45,14,45,8,6,0,0,270,58,34,58,27,6,1,0,826,30,92,30,63,28,1,0,44,82,10,82,9,1,0,0
78,31.0,79.25,90,45,14,45,11,3,0,0,290,61,31,61,24,6,1,0,653,42,80,42,61,17,2,0,39,83,9,83,8,1,0,0
79,31.0,79.5,91,43,16,43,13,3,0,0,312,59,33,59,23,9,1,0,716,33,89,33,67,21,1,0,39,83,9,83,8,1,0,0
80,31.0,79.75,92,45,14,45,12,2,0,0,349,53,39,53,29,9,1,0,841,25,97,25,72,24,1,0,36,83,9,83,9,0,0,0
81,31.25,78.25,59,45,14,45,13,1,0,0,106,67,25,67,21,4,0,0,240,53,69,53,67,2,0,0,40,81,11,81,10,1,0,0
82,31.25,79.0,75,47,12,47,9,3,0,0,250,58,34,58,27,6,1,0,634,37,85,37,64,21,0,0,41,78,14,78,14,0,0,0
