FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,52,51,8,51,6,2,0,0,152,74,18,74,13,5,0,0,2145,39,83,39,31,39,11,2,0,92,0,92,0,0,0,0
1,29.0,79.25,65,51,8,51,6,2,0,0,142,76,16,76,11,5,0,0,1648,54,68,54,30,25,11,2,1,91,1,91,1,0,0,0
2,29.0,79.5,43,53,6,53,5,1,0,0,78,76,16,76,14,2,0,0,1223,46,76,46,45,25,6,0,1,91,1,91,1,0,0,0
3,29.0,79.75,46,52,7,52,5,2,0,0,129,69,23,69,18,5,0,0,1743,30,92,30,42,39,10,1,0,92,0,92,0,0,0,0
4,29.0,80.0,47,50,9,50,8,1,0,0,138,69,23,69,18,5,0,0,1847,32,90,32,40,38,11,1,0,92,0,92,0,0,0,0
5,29.25,79.0,7,52,7,52,7,0,0,0,31,77,15,77,15,0,0,0,895,47,75,47,39,35,1,0,0,92,0,92,0,0,0,0
6,29.25,79.25,16,51,8,51,8,0,0,0,85,74,18,74,16,2,0,0,1446,38,84,38,43,36,5,0,4,90,2,90,2,0,0,0
7,29.25,79.5,76,48,11,48,8,3,0,0,151,68,24,68,20,4,0,0,1388,36,86,36,43,37,4,2,12,90,2,90,2,0,0,0
8,29.25,79.75,97,47,12,47,7,5,0,0,118,66,26,66,25,1,0,0,1417,29,93,29,46,42,4,1,9,90,2,90,2,0,0,0
9,29.25,80.0,89,45,14,45,10,4,0,0,142,62,30,62,27,3,0,0,1754,18,104,18,51,45,6,2,6,90,2,90,2,0,0,0
10,29.25,80.25,90,46,13,46,9,4,0,0,157,55,37,55,34,3,0,0,1865,20,102,20,46,46,9,1,4,90,2,90,2,0,0,0
11,29.5,78.75,21,53,6,53,5,1,0,0,6,89,3,89,3,0,0,0,672,63,59,63,35,24,0,0,0,92,0,92,0,0,0,0
12,29.5,79.0,23,53,6,53,5,1,0,0,14,84,8,84,8,0,0,0,663,61,61,61,37,24,0,0,0,92,0,92,0,0,0,0
13,29.5,79.25,91,47,12,47,8,4,0,0,221,73,19,73,12,6,1,0,1455,40,82,40,46,30,4,2,7,90,2,90,2,0,0,0
14,29.5,79.5,148,49,10,49,4,6,0,0,190,71,21,71,14,6,1,0,1238,40,82,40,46,31,2,3,17,90,2,90,1,1,0,0
15,29.5,79.75,116,47,12,47,6,6,0,0,164,66,26,66,20,6,0,0,1489,15,107,15,56,45,5,1,16,88,4,88,4,0,0,0
16,29.5,80.0,95,48,11,48,8,3,0,0,162,62,30,62,23,7,0,0,2173,13,109,13,39,61,8,1,25,83,9,83,9,0,0,0
17,29.5,80.25,113,45,14,45,9,5,0,0,230,54,38,54,29,9,0,0,2199,13,109,13,40,58,10,1,16,86,6,86,6,0,0,0
18,29.75,78.0,105,49,10,49,5,5,0,0,60,77,15,77,14,1,0,0,1100,56,66,56,27,35,3,1,0,92,0,92,0,0,0,0
19,29.75,78.25,22,52,7,52,7,0,0,0,6,88,4,88,4,0,0,0,930,64,58,64,32,21,5,0,0,92,0,92,0,0,0,0
20,29.75,78.5,43,57,2,57,0,2,0,0,0,92,0,92,0,0,0,0,1130,64,58,64,29,20,8,1,0,92,0,92,0,0,0,0
21,29.75,78.75,30,56,3,56,1,2,0,0,1,91,1,91,1,0,0,0,820,64,58,64,29,27,2,0,0,92,0,92,0,0,0,0
22,29.75,79.0,61,50,9,50,6,3,0,0,54,76,16,76,15,1,0,0,881,44,78,44,49,28,1,0,2,90,2,90,2,0,0,0
23,29.75,79.25,116,51,8,51,2,6,0,0,122,78,14,78,9,5,0,0,1075,44,78,44,47,27,4,0,6,90,2,90,2,0,0,0
24,29.75,79.5,129,51,8,51,3,5,0,0,201,66,26,66,17,9,0,0,1511,16,106,16,53,48,4,1,16,86,6,86,6,0,0,0
25,29.75,79.75,126,49,10,49,4,6,0,0,280,70,22,70,11,10,1,0,2133,15,107,15,35,66,6,0,24,83,9,83,9,0,0,0
26,29.75,80.0,110,46,13,46,8,5,0,0,202,63,29,63,22,7,0,0,2727,11,111,11,34,62,15,0,32,81,11,81,11,0,0,0
27,29.75,80.25,156,48,11,48,5,6,0,0,359,52,40,52,26,14,0,0,2044,16,106,16,44,51,9,2,11,88,4,88,4,0,0,0
28,30.0,77.75,140,48,11,48,5,6,0,0,103,71,21,71,17,4,0,0,1365,53,69,53,29,34,4,2,0,92,0,92,0,0,0,0
29,30.0,78.0,187,49,10,49,4,5,1,0,117,74,18,74,11,7,0,0,1467,60,62,60,22,33,5,2,0,92,0,92,0,0,0,0
30,30.0,78.25,118,49,10,49,6,3,1,0,47,76,16,76,16,0,0,0,1100,58,64,58,27,34,2,1,0,92,0,92,0,0,0,0
31,30.0,78.5,164,45,14,45,5,9,0,0,81,73,19,73,17,2,0,0,1193,60,62,60,27,30,3,2,0,92,0,92,0,0,0,0
32,30.0,78.75,169,45,14,45,6,8,0,0,88,74,18,74,14,4,0,0,979,53,69,53,40,26,2,1,0,92,0,92,0,0,0,0
33,30.0,79.0,93,46,13,46,7,6,0,0,35,78,14,78,14,0,0,0,799,40,82,40,54,27,1,0,8,88,4,88,4,0,0,0
34,30.0,79.25,59,50,9,50,7,2,0,0,45,74,18,74,18,0,0,0,889,28,94,28,62,32,0,0,12,87,5,87,5,0,0,0
35,30.0,79.5,117,50,9,50,3,6,0,0,222,63,29,63,20,9,0,0,1854,16,106,16,37,64,5,0,28,81,11,81,11,0,0,0
36,30.0,79.75,84,45,14,45,11,3,0,0,470,43,49,43,28,21,0,0,2985,10,112,10,32,66,13,1,35,81,11,81,11,0,0,0
