FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,150,48,11,48,6,4,1,0,127,78,14,78,10,4,0,0,1477,40,82,40,44,30,7,1,0,92,0,92,0,0,0,0
1,29.0,79.25,156,44,15,44,10,5,0,0,174,73,19,73,15,3,1,0,1010,55,67,55,39,23,5,0,11,90,2,90,1,1,0,0
2,29.0,79.5,201,45,14,45,9,5,0,0,209,70,22,70,14,7,1,0,1257,44,78,44,35,39,4,0,9,91,1,91,1,0,0,0
3,29.0,79.75,163,42,17,42,10,7,0,0,139,71,21,71,16,5,0,0,1167,37,85,37,48,33,3,1,2,91,1,91,1,0,0,0
4,29.0,80.0,157,44,15,44,8,6,1,0,147,70,22,70,17,5,0,0,1299,37,85,37,46,34,4,1,0,92,0,92,0,0,0,0
5,29.25,79.0,79,46,13,46,9,4,0,0,142,70,22,70,18,4,0,0,551,44,78,44,55,23,0,0,2,91,1,91,1,0,0,0
6,29.25,79.25,290,44,15,44,7,5,3,0,307,67,25,67,16,8,1,0,1654,33,89,33,41,42,4,2,7,91,1,91,1,0,0,0
7,29.25,79.5,248,41,18,41,10,6,2,0,307,62,30,62,21,9,0,0,1261,33,89,33,52,34,2,1,7,91,1,91,1,0,0,0
8,29.25,79.75,186,41,18,41,10,8,0,0,203,58,34,58,27,7,0,0,623,53,69,53,50,18,1,0,2,91,1,91,1,0,0,0
9,29.25,80.0,188,40,19,40,11,8,0,0,200,61,31,61,24,7,0,0,690,42,80,42,55,24,1,0,2,91,1,91,1,0,0,0
10,29.25,80.25,181,39,20,39,13,7,0,0,219,59,33,59,26,7,0,0,903,36,86,36,57,27,2,0,1,91,1,91,1,0,0,0
11,29.5,78.75,75,47,12,47,8,4,0,0,120,71,21,71,18,3,0,0,571,41,81,41,56,25,0,0,1,91,1,91,1,0,0,0
12,29.5,79.0,81,44,15,44,12,3,0,0,145,65,27,65,23,4,0,0,544,47,75,47,56,19,0,0,3,91,1,91,1,0,0,0
13,29.5,79.25,220,40,19,40,12,7,0,0,306,61,31,61,23,7,1,0,987,37,85,37,51,32,1,1,2,91,1,91,1,0,0,0
14,29.5,79.5,177,42,17,42,10,7,0,0,292,63,29,63,20,8,1,0,613,51,71,51,57,13,0,1,5,91,1,91,1,0,0,0
15,29.5,79.75,192,40,19,40,11,8,0,0,250,54,38,54,31,7,0,0,696,51,71,51,47,23,1,0,3,91,1,91,1,0,0,0
16,29.5,80.0,197,39,20,39,13,7,0,0,302,54,38,54,28,10,0,0,755,46,76,46,53,22,1,0,2,91,1,91,1,0,0,0
17,29.5,80.25,201,37,22,37,15,7,0,0,293,47,45,47,35,10,0,0,1560,21,101,21,46,51,4,0,2,91,1,91,1,0,0,0
18,29.75,78.0,112,43,16,43,11,5,0,0,233,64,28,64,19,9,0,0,835,49,73,49,43,29,1,0,21,88,4,88,4,0,0,0
19,29.75,78.25,125,45,14,45,10,4,0,0,140,74,18,74,14,4,0,0,1060,54,68,54,35,30,3,0,13,90,2,90,1,1,0,0
20,29.75,78.5,141,46,13,46,7,6,0,0,172,72,20,72,13,7,0,0,630,54,68,54,42,26,0,0,3,91,1,91,1,0,0,0
21,29.75,78.75,121,44,15,44,11,4,0,0,152,69,23,69,19,4,0,0,668,41,81,41,54,27,0,0,5,90,2,90,2,0,0,0
22,29.75,79.0,150,45,14,45,6,8,0,0,147,68,24,68,20,4,0,0,550,59,63,59,44,19,0,0,3,91,1,91,1,0,0,0
23,29.75,79.25,153,45,14,45,8,6,0,0,171,71,21,71,14,7,0,0,447,65,57,65,39,18,0,0,7,91,1,91,1,0,0,0
24,29.75,79.5,134,44,15,44,9,6,0,0,194,57,35,57,30,5,0,0,652,50,72,50,48,22,2,0,3,91,1,91,1,0,0,0
25,29.75,79.75,173,40,19,40,12,7,0,0,249,53,39,53,31,8,0,0,956,33,89,33,60,26,3,0,3,91,1,91,1,0,0,0
26,29.75,80.0,168,42,17,42,11,6,0,0,281,53,39,53,30,9,0,0,1570,30,92,30,41,47,4,0,3,91,1,91,1,0,0,0
27,29.75,80.25,228,37,22,37,12,10,0,0,302,46,46,46,37,9,0,0,2464,18,104,18,43,47,11,3,1,91,1,91,1,0,0,0
28,30.0,77.75,126,43,16,43,13,3,0,0,284,64,28,64,19,8,1,0,805,49,73,49,44,26,3,0,31,88,4,88,2,2,0,0
29,30.0,78.0,153,43,16,43,10,6,0,0,270,64,28,64,21,7,0,0,1100,44,78,44,48,26,3,1,40,88,4,88,1,3,0,0
30,30.0,78.25,234,42,17,42,10,6,1,0,290,56,36,56,28,8,0,0,1097,38,84,38,47,35,2,0,26,87,5,87,5,0,0,0
31,30.0,78.5,223,44,15,44,8,6,1,0,229,65,27,65,18,9,0,0,658,54,68,54,44,24,0,0,9,87,5,87,5,0,0,0
32,30.0,78.75,205,41,18,41,8,10,0,0,169,64,28,64,22,6,0,0,486,62,60,62,43,17,0,0,11,89,3,89,3,0,0,0
33,30.0,79.0,152,43,16,43,9,7,0,0,152,65,27,65,23,4,0,0,598,52,70,52,47,23,0,0,6,90,2,90,2,0,0,0
34,30.0,79.25,153,43,16,43,9,7,0,0,132,69,23,69,19,4,0,0,587,55,67,55,45,22,0,0,6,90,2,90,2,0,0,0
35,30.0,79.5,150,43,16,43,10,6,0,0,248,60,32,60,22,10,0,0,1161,43,79,43,43,32,3,1,2,91,1,91,1,0,0,0
36,30.0,79.75,163,42,17,42,12,5,0,0,316,61,31,61,18,13,0,0,1700,37,85,37,42,35,7,1,1,91,1,91,1,0,0,0
37,30.0,80.0,192,42,17,42,10,6,1,0,296,46,46,46,37,9,0,0,1867,23,99,23,39,50,9,1,5,90,2,90,2,0,0,0
38,30.0,80.25,223,38,21,38,11,10,0,0,301,41,51,41,43,8,0,0,2430,18,104,18,42,48,11,3,2,91,1,91,1,0,0,0
39,30.0,80.5,227,37,22,37,12,10,0,0,303,42,50,42,41,9,0,0,2481,18,104,18,42,49,10,3,2,91,1,91,1,0,0,0
40,30.25,78.0,212,43,16,43,9,7,0,0,226,64,28,64,20,8,0,0,1104,33,89,33,53,34,0,2,31,86,6,86,4,2,0,0
41,30.25,78.25,226,42,17,42,8,9,0,0,289,53,39,53,29,10,0,0,902,48,74,48,47,26,1,0,22,86,6,86,6,0,0,0
42,30.25,78.5,249,43,16,43,6,9,1,0,193,60,32,60,26,6,0,0,533,66,56,66,40,15,1,0,10,87,5,87,5,0,0,0
43,30.25,78.75,167,41,18,41,9,9,0,0,254,57,35,57,25,10,0,0,523,64,58,64,38,19,1,0,11,89,3,89,3,0,0,0
44,30.25,79.0,153,42,17,42,10,7,0,0,195,63,29,63,22,7,0,0,861,49,73,49,48,21,4,0,17,89,3,89,2,1,0,0
45,30.25,79.25,150,43,16,43,9,7,0,0,174,63,29,63,23,6,0,0,1051,33,89,33,53,32,4,0,13,88,4,88,4,0,0,0
46,30.25,79.5,164,41,18,41,11,7,0,0,223,60,32,60,25,7,0,0,1238,33,89,33,47,40,1,1,15,85,7,85,7,0,0,0
47,30.25,79.75,174,42,17,42,9,8,0,0,281,47,45,47,35,10,0,0,1508,25,97,25,48,43,5,1,5,89,3,89,3,0,0,0
48,30.25,80.0,192,42,17,42,10,6,1,0,301,45,47,45,38,9,0,0,1899,22,100,22,42,48,9,1,5,90,2,90,2,0,0,0
49,30.25,80.25,204,39,20,39,12,8,0,0,298,42,50,42,41,9,0,0,2091,19,103,19,39,54,9,1,4,90,2,90,2,0,0,0
