FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,59,53,6,53,4,2,0,0,126,81,11,81,6,5,0,0,1566,55,67,55,31,28,5,3,80,84,8,84,6,2,0,0
1,29.0,79.25,29,53,6,53,4,2,0,0,84,81,11,81,7,4,0,0,1174,60,62,60,36,22,2,2,82,87,5,87,2,3,0,0
2,29.0,79.5,27,52,7,52,6,1,0,0,74,80,12,80,8,4,0,0,837,59,63,59,37,22,4,0,89,84,8,84,3,5,0,0
3,29.0,79.75,59,51,8,51,5,3,0,0,115,74,18,74,13,5,0,0,1055,48,74,48,40,31,3,0,66,84,8,84,6,2,0,0
4,29.0,80.0,60,51,8,51,5,3,0,0,130,74,18,74,13,5,0,0,1267,44,78,44,43,31,3,1,70,83,9,83,7,2,0,0
5,29.25,79.0,16,54,5,54,5,0,0,0,61,78,14,78,12,2,0,0,818,46,76,46,52,20,4,0,85,85,7,85,3,4,0,0
6,29.25,79.25,18,54,5,54,5,0,0,0,90,77,15,77,13,2,0,0,953,36,86,36,62,20,3,1,84,84,8,84,5,3,0,0
7,29.25,79.5,40,53,6,53,4,2,0,0,115,76,16,76,11,5,0,0,942,37,85,37,60,21,3,1,72,84,8,84,5,3,0,0
8,29.25,79.75,64,50,9,50,7,2,0,0,133,69,23,69,19,4,0,0,728,28,94,28,71,22,1,0,49,84,8,84,6,2,0,0
9,29.25,80.0,63,50,9,50,8,1,0,0,147,69,23,69,16,7,0,0,903,28,94,28,61,33,0,0,51,83,9,83,7,2,0,0
10,29.25,80.25,58,50,9,50,7,2,0,0,200,65,27,65,20,7,0,0,1384,24,98,24,44,52,2,0,59,78,14,78,12,2,0,0
11,29.5,78.75,20,54,5,54,5,0,0,0,43,84,8,84,6,2,0,0,675,76,46,76,23,20,3,0,103,88,4,88,0,4,0,0
12,29.5,79.0,21,55,4,55,4,0,0,0,45,85,7,85,5,2,0,0,723,67,55,67,34,16,5,0,136,88,4,88,0,3,1,0
13,29.5,79.25,21,52,7,52,7,0,0,0,84,76,16,76,14,2,0,0,818,38,84,38,63,18,2,1,98,84,8,84,4,4,0,0
14,29.5,79.5,61,52,7,52,4,3,0,0,140,79,13,79,6,7,0,0,841,46,76,46,52,21,3,0,63,85,7,85,4,3,0,0
15,29.5,79.75,58,49,10,49,9,1,0,0,175,65,27,65,22,5,0,0,1025,22,100,22,62,37,1,0,56,79,13,79,10,3,0,0
16,29.5,80.0,52,47,12,47,10,2,0,0,243,66,26,66,15,11,0,0,1562,24,98,24,42,54,2,0,60,77,15,77,13,2,0,0
17,29.5,80.25,59,46,13,46,12,1,0,0,242,65,27,65,16,11,0,0,1601,23,99,23,44,52,3,0,46,76,16,76,16,0,0,0
18,29.75,78.0,42,54,5,54,3,2,0,0,66,84,8,84,5,3,0,0,734,73,49,73,24,23,2,0,121,84,8,84,4,3,1,0
19,29.75,78.25,25,54,5,54,4,1,0,0,74,82,10,82,8,2,0,0,914,75,47,75,20,19,8,0,69,88,4,88,1,3,0,0
20,29.75,78.5,26,54,5,54,4,1,0,0,94,79,13,79,9,4,0,0,1045,45,77,45,46,25,6,0,62,86,6,86,3,3,0,0
21,29.75,78.75,23,53,6,53,6,0,0,0,48,81,11,81,9,2,0,0,795,40,82,40,57,24,1,0,111,85,7,85,3,4,0,0
22,29.75,79.0,27,52,7,52,6,1,0,0,62,78,14,78,12,2,0,0,762,51,71,51,48,20,3,0,130,85,7,85,3,3,1,0
23,29.75,79.25,37,51,8,51,7,1,0,0,91,77,15,77,13,2,0,0,824,43,79,43,53,24,2,0,103,85,7,85,3,4,0,0
24,29.75,79.5,52,52,7,52,6,1,0,0,136,77,15,77,10,5,0,0,917,40,82,40,58,21,3,0,67,85,7,85,4,3,0,0
25,29.75,79.75,54,49,10,49,8,2,0,0,191,66,26,66,16,10,0,0,1217,18,104,18,56,47,1,0,60,77,15,77,13,2,0,0
26,29.75,80.0,68,46,13,46,11,2,0,0,268,65,27,65,14,13,0,0,1870,23,99,23,43,48,8,0,69,74,18,74,16,2,0,0
27,29.75,80.25,62,47,12,47,10,2,0,0,293,67,25,67,16,8,0,1,2079,28,94,28,42,41,10,1,25,81,11,81,11,0,0,0
28,30.0,77.75,89,51,8,51,4,4,0,0,53,85,7,85,4,3,0,0,565,58,64,58,45,18,1,0,116,85,7,85,3,4,0,0
29,30.0,78.0,70,53,6,53,4,2,0,0,41,85,7,85,5,2,0,0,646,65,57,65,35,21,1,0,191,82,10,82,6,3,0,1
30,30.0,78.25,54,53,6,53,5,1,0,0,62,77,15,77,13,2,0,0,766,35,87,35,57,30,0,0,136,81,11,81,7,3,1,0
31,30.0,78.5,42,51,8,51,7,1,0,0,74,74,18,74,17,1,0,0,938,34,88,34,51,35,2,0,95,76,16,76,12,4,0,0
32,30.0,78.75,35,51,8,51,7,1,0,0,64,77,15,77,14,1,0,0,935,35,87,35,48,38,1,0,106,78,14,78,9,5,0,0
33,30.0,79.0,26,53,6,53,6,0,0,0,77,74,18,74,16,2,0,0,961,27,95,27,60,35,0,0,109,79,13,79,8,5,0,0
34,30.0,79.25,31,50,9,50,9,0,0,0,91,73,19,73,17,2,0,0,887,30,92,30,55,36,1,0,105,76,16,76,12,4,0,0
35,30.0,79.5,54,48,11,48,10,1,0,0,153,69,23,69,16,7,0,0,1131,18,104,18,63,40,1,0,80,74,18,74,15,3,0,0
36,30.0,79.75,93,46,13,46,10,3,0,0,258,69,23,69,14,9,0,0,2008,24,98,24,37,49,12,0,96,78,14,78,11,3,0,0
37,30.0,80.0,118,48,11,48,5,6,0,0,296,70,22,70,13,9,0,0,2437,32,90,32,36,34,17,3,116,81,11,81,4,7,0,0
38,30.0,80.25,78,46,13,46,11,2,0,0,296,68,24,68,16,7,1,0,2194,32,90,32,38,37,14,1,48,82,10,82,10,0,0,0
39,30.0,80.5,70,46,13,46,11,2,0,0,292,67,25,67,16,8,1,0,2136,29,93,29,41,38,13,1,38,82,10,82,10,0,0,0
40,30.25,78.0,111,51,8,51,6,1,1,0,30,82,10,82,10,0,0,0,713,53,69,53,38,31,0,0,53,85,7,85,5,2,0,0
41,30.25,78.25,76,51,8,51,5,3,0,0,79,76,16,76,13,3,0,0,837,40,82,40,54,28,0,0,112,77,15,77,11,4,0,0
42,30.25,78.5,43,51,8,51,6,2,0,0,71,76,16,76,14,2,0,0,976,35,87,35,49,36,2,0,98,75,17,75,13,4,0,0
43,30.25,78.75,44,50,9,50,8,1,0,0,74,73,19,73,18,1,0,0,946,32,90,32,52,36,2,0,95,76,16,76,12,4,0,0
44,30.25,79.0,25,52,7,52,7,0,0,0,84,73,19,73,18,1,0,0,892,26,96,26,60,35,1,0,95,70,22,70,17,5,0,0
45,30.25,79.25,22,53,6,53,6,0,0,0,93,70,22,70,19,3,0,0,882,28,94,28,59,35,0,0,89,73,19,73,15,4,0,0
46,30.25,79.5,37,49,10,49,10,0,0,0,93,70,22,70,19,3,0,0,782,23,99,23,66,33,0,0,78,72,20,72,17,3,0,0
47,30.25,79.75,80,48,11,48,9,2,0,0,202,70,22,70,14,8,0,0,1731,25,97,25,48,41,8,0,106,73,19,73,15,4,0,0
48,30.25,80.0,113,47,12,47,6,6,0,0,291,69,23,69,14,9,0,0,2370,28,94,28,37,40,15,2,110,80,12,80,5,7,0,0
49,30.25,80.25,98,47,12,47,8,4,0,0,289,69,23,69,14,9,0,0,2302,28,94,28,36,44,12,2,91,79,13,79,9,4,0,0
50,30.25,80.5,83,46,13,46,11,2,0,0,297,67,25,67,16,8,1,0,2237,28,94,28,38,40,15,1,62,82,10,82,8,2,0,0
51,30.25,80.75,79,46,13,46,11,2,0,0,298,67,25,67,16,8,1,0,2217,31,91,31,37,39,14,1,52,82,10,82,10,0,0,0
52,30.25,81.0,70,46,13,46,11,2,0,0,301,68,24,68,15,8,1,0,2186,32,90,32,38,36,15,1,39,82,10,82,10,0,0,0
53,30.5,78.0,108,50,9,50,7,1,1,0,49,76,16,76,14,2,0,0,732,47,75,47,42,33,0,0,61,81,11,81,10,1,0,0
54,30.5,78.25,85,50,9,50,5,4,0,0,90,78,14,78,11,3,0,0,1045,41,81,41,45,34,2,0,141,76,16,76,12,4,0,0
55,30.5,78.5,86,50,9,50,4,5,0,0,86,78,14,78,10,4,0,0,945,38,84,38,51,32,1,0,133,76,16,76,12,4,0,0
56,30.5,78.75,61,49,10,49,8,2,0,0,81,73,19,73,17,2,0,0,992,30,92,30,53,39,0,0,113,77,15,77,11,4,0,0
57,30.5,79.0,25,53,6,53,6,0,0,0,83,70,22,70,20,2,0,0,787,28,94,28,60,34,0,0,84,74,18,74,14,4,0,0
58,30.5,79.25,23,53,6,53,6,0,0,0,88,70,22,70,19,3,0,0,811,31,91,31,57,34,0,0,84,73,19,73,15,4,0,0
59,30.5,79.5,29,53,6,53,6,0,0,0,57,74,18,74,17,1,0,0,433,31,91,31,83,8,0,0,64,76,16,76,15,1,0,0
60,30.5,79.75,53,48,11,48,11,0,0,0,129,69,23,69,18,5,0,0,1089,23,99,23,56,43,0,0,86,73,19,73,16,3,0,0
61,30.5,80.0,88,47,12,47,8,4,0,0,232,71,21,71,13,8,0,0,1878,28,94,28,43,39,12,0,93,76,16,76,13,3,0,0
62,30.5,80.25,92,47,12,47,8,4,0,0,272,70,22,70,14,8,0,0,2149,30,92,30,36,42,13,1,83,79,13,79,10,3,0,0
63,30.75,77.75,127,51,8,51,4,4,0,0,117,78,14,78,9,5,0,0,697,43,79,43,55,24,0,0,55,78,14,78,13,1,0,0
64,30.75,78.0,143,50,9,50,4,5,0,0,109,75,17,75,12,5,0,0,632,46,76,46,52,24,0,0,111,74,18,74,15,3,0,0
65,30.75,78.25,129,49,10,49,5,5,0,0,107,78,14,78,10,4,0,0,943,43,79,43,43,36,0,0,161,72,20,72,15,5,0,0
66,30.75,78.5,106,49,10,49,5,5,0,0,101,75,17,75,13,4,0,0,1031,38,84,38,45,38,1,0,155,72,20,72,14,6,0,0
67,30.75,78.75,99,49,10,49,5,5,0,0,94,75,17,75,13,4,0,0,1000,37,85,37,51,33,1,0,146,72,20,72,15,5,0,0
68,30.75,79.0,27,53,6,53,6,0,0,0,70,70,22,70,20,2,0,0,645,27,95,27,70,25,0,0,80,72,20,72,18,2,0,0
69,30.75,79.25,27,53,6,53,6,0,0,0,57,72,20,72,19,1,0,0,487,33,89,33,74,15,0,0,69,75,17,75,15,2,0,0
70,30.75,79.5,30,52,7,52,7,0,0,0,67,71,21,71,20,1,0,0,535,26,96,26,78,18,0,0,71,73,19,73,17,2,0,0
71,30.75,79.75,39,49,10,49,10,0,0,0,90,69,23,69,20,3,0,0,739,23,99,23,68,31,0,0,76,72,20,72,18,2,0,0
72,30.75,80.0,71,48,11,48,9,2,0,0,171,69,23,69,15,8,0,0,1425,24,98,24,54,41,3,0,96,73,19,73,15,4,0,0
73,31.0,78.0,49,48,11,48,10,1,0,0,37,79,13,79,13,0,0,0,327,66,56,66,48,8,0,0,52,77,15,77,14,1,0,0
74,31.0,78.25,74,46,13,46,10,3,0,0,69,76,16,76,13,3,0,0,700,42,80,42,50,30,0,0,108,72,20,72,17,3,0,0
75,31.0,78.5,89,45,14,45,9,5,0,0,90,75,17,75,13,4,0,0,899,40,82,40,48,33,1,0,145,70,22,70,16,6,0,0
76,31.0,78.75,91,46,13,46,8,5,0,0,87,75,17,75,13,4,0,0,920,38,84,38,52,31,1,0,136,72,20,72,15,5,0,0
77,31.0,79.0,41,51,8,51,7,1,0,0,79,69,23,69,21,2,0,0,716,25,97,25,66,31,0,0,90,72,20,72,16,4,0,0
78,31.0,79.25,27,53,6,53,6,0,0,0,68,71,21,71,19,2,0,0,585,31,91,31,68,23,0,0,77,74,18,74,16,2,0,0
79,31.0,79.5,29,53,6,53,6,0,0,0,69,71,21,71,20,1,0,0,573,28,94,28,75,19,0,0,73,73,19,73,17,2,0,0
80,31.0,79.75,32,51,8,51,8,0,0,0,77,70,22,70,21,1,0,0,611,24,98,24,73,25,0,0,73,72,20,72,18,2,0,0
81,31.25,78.25,76,46,13,46,11,2,0,0,68,74,18,74,15,3,0,0,187,66,56,66,54,2,0,0,136,78,14,78,8,6,0,0
82,31.25,79.0,48,49,10,49,9,1,0,0,74,70,22,70,20,2,0,0,585,27,95,27,75,20,0,0,83,72,20,72,17,3,0,0
