FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,108,52,7,52,3,4,0,0,1,91,1,91,1,0,0,0,1507,51,71,51,32,30,8,1,0,92,0,92,0,0,0,0
1,29.0,79.25,133,49,10,49,5,4,1,0,7,87,5,87,5,0,0,0,969,57,65,57,38,22,4,1,0,92,0,92,0,0,0,0
2,29.0,79.5,131,48,11,48,6,4,1,0,21,81,11,81,11,0,0,0,982,43,79,43,48,27,4,0,0,92,0,92,0,0,0,0
3,29.0,79.75,110,49,10,49,6,4,0,0,15,83,9,83,9,0,0,0,1307,50,72,50,32,34,6,0,0,92,0,92,0,0,0,0
4,29.0,80.0,105,51,8,51,4,4,0,0,10,84,8,84,8,0,0,0,1418,50,72,50,31,33,8,0,0,92,0,92,0,0,0,0
5,29.25,79.0,149,48,11,48,6,4,1,0,36,81,11,81,10,1,0,0,1197,48,74,48,41,27,4,2,3,89,3,89,3,0,0,0
6,29.25,79.25,158,47,12,47,7,4,1,0,59,76,16,76,14,2,0,0,1047,50,72,50,43,25,3,1,1,91,1,91,1,0,0,0
7,29.25,79.5,155,47,12,47,7,5,0,0,71,76,16,76,14,2,0,0,1014,43,79,43,51,23,4,1,0,92,0,92,0,0,0,0
8,29.25,79.75,141,45,14,45,9,5,0,0,63,76,16,76,14,2,0,0,1100,46,76,46,41,29,6,0,0,92,0,92,0,0,0,0
9,29.25,80.0,142,39,20,39,15,5,0,0,114,66,26,66,20,6,0,0,1423,37,85,37,34,46,5,0,3,91,1,91,1,0,0,0
10,29.25,80.25,157,40,19,40,14,5,0,0,143,71,21,71,15,6,0,0,1530,40,82,40,24,53,5,0,5,91,1,91,1,0,0,0
11,29.5,78.75,166,48,11,48,6,4,1,0,28,88,4,88,3,1,0,0,1220,52,70,52,39,26,3,2,1,91,1,91,1,0,0,0
12,29.5,79.0,161,50,9,50,4,4,1,0,46,89,3,89,2,1,0,0,968,69,53,69,29,20,2,2,0,92,0,92,0,0,0,0
13,29.5,79.25,160,48,11,48,6,4,1,0,65,77,15,77,13,2,0,0,972,55,67,55,41,22,3,1,0,92,0,92,0,0,0,0
14,29.5,79.5,154,47,12,47,7,5,0,0,89,76,16,76,14,2,0,0,963,51,71,51,49,17,4,1,0,92,0,92,0,0,0,0
15,29.5,79.75,170,39,20,39,15,5,0,0,119,65,27,65,23,4,0,0,1144,36,86,36,46,35,4,1,5,91,1,91,1,0,0,0
16,29.5,80.0,202,38,21,38,13,8,0,0,184,63,29,63,22,7,0,0,1447,38,84,38,23,61,0,0,8,91,1,91,1,0,0,0
17,29.5,80.25,233,39,20,39,11,9,0,0,236,67,25,67,16,9,0,0,1610,43,79,43,16,61,2,0,10,91,1,91,0,1,0,0
18,29.75,78.0,93,50,9,50,5,4,0,0,17,87,5,87,5,0,0,0,1167,51,71,51,33,34,4,0,0,92,0,92,0,0,0,0
19,29.75,78.25,143,49,10,49,6,3,1,0,18,87,5,87,5,0,0,0,1188,51,71,51,34,33,2,2,0,92,0,92,0,0,0,0
20,29.75,78.5,204,48,11,48,8,1,2,0,21,87,5,87,5,0,0,0,1309,53,69,53,37,28,2,2,2,90,2,90,2,0,0,0
21,29.75,78.75,178,48,11,48,6,4,1,0,36,88,4,88,3,1,0,0,1130,58,64,58,34,26,2,2,0,92,0,92,0,0,0,0
22,29.75,79.0,183,45,14,45,9,4,1,0,51,83,9,83,8,1,0,0,981,62,60,62,36,20,3,1,0,92,0,92,0,0,0,0
23,29.75,79.25,170,45,14,45,9,4,1,0,62,77,15,77,14,1,0,0,978,54,68,54,42,22,3,1,1,91,1,91,1,0,0,0
24,29.75,79.5,166,43,16,43,11,5,0,0,83,74,18,74,16,2,0,0,919,37,85,37,60,21,3,1,10,84,8,84,8,0,0,0
25,29.75,79.75,189,38,21,38,15,6,0,0,149,62,30,62,25,5,0,0,1155,36,86,36,37,47,2,0,14,85,7,85,7,0,0,0
26,29.75,80.0,213,37,22,37,14,8,0,0,224,64,28,64,20,8,0,0,1493,43,79,43,17,61,1,0,10,91,1,91,0,1,0,0
27,29.75,80.25,263,42,17,42,4,13,0,0,267,73,19,73,5,14,0,0,1559,50,72,50,10,61,1,0,11,91,1,91,0,1,0,0
28,30.0,77.75,81,46,13,46,8,5,0,0,32,84,8,84,8,0,0,0,1246,41,81,41,37,41,3,0,4,90,2,90,2,0,0,0
