FID,Lat,Long,Winter_Rainfall_Total,Winter_Dry_days,Winter_Wet_days,Winter_Class1_days,Winter_Class2_days,Winter_Class3_days,Winter_Class4_days,Winter_Class5_days,Summer_Rainfall_Total,Summer_Dry_days,Summer_Wet_days,Summer_Class1_days,Summer_Class2_days,Summer_Class3_days,Summer_Class4_days,Summer_Class5_days,Monsoon_Rainfall_Total,Monsoon_Dry_days,Monsoon_Wet_days,Monsoon_Class1_days,Monsoon_Class2_days,Monsoon_Class3_days,Monsoon_Class4_days,Monsoon_Class5_days,Autumn_Rainfall_Total,Autumn_Dry_days,Autumn_Wet_days,Autumn_Class1_days,Autumn_Class2_days,Autumn_Class3_days,Autumn_Class4_days,Autumn_Class5_days
0,28.75,80.0,64,48,11,48,9,2,0,0,91,85,7,85,3,4,0,0,1726,61,61,61,21,29,6,5,29,90,2,90,1,1,0,0
1,29.0,79.25,85,47,12,47,10,2,0,0,76,87,5,87,2,3,0,0,902,70,52,70,27,19,5,1,0,92,0,92,0,0,0,0
2,29.0,79.5,100,44,15,44,13,2,0,0,71,80,12,80,9,3,0,0,1005,50,72,50,42,25,4,1,1,91,1,91,1,0,0,0
3,29.0,79.75,70,49,10,49,8,2,0,0,75,85,7,85,2,5,0,0,1424,50,72,50,36,29,4,3,18,90,2,90,1,1,0,0
4,29.0,80.0,68,47,12,47,10,2,0,0,82,83,9,83,6,3,0,0,1548,52,70,52,33,27,7,3,25,90,2,90,1,1,0,0
5,29.25,79.0,73,45,14,45,12,2,0,0,35,84,8,84,7,1,0,0,719,66,56,66,32,22,1,1,3,91,1,91,1,0,0,0
6,29.25,79.25,102,42,17,42,15,2,0,0,88,76,16,76,13,3,0,0,878,60,62,60,34,25,2,1,4,90,2,90,2,0,0,0
7,29.25,79.5,151,39,20,39,16,4,0,0,134,73,19,73,14,5,0,0,889,53,69,53,40,26,3,0,5,88,4,88,4,0,0,0
8,29.25,79.75,136,40,19,40,14,5,0,0,134,72,20,72,15,5,0,0,1121,45,77,45,41,31,5,0,11,88,4,88,4,0,0,0
9,29.25,80.0,134,39,20,39,15,5,0,0,204,62,30,62,23,7,0,0,1602,30,92,30,45,40,5,2,23,87,5,87,4,1,0,0
10,29.25,80.25,141,40,19,40,14,5,0,0,253,59,33,59,26,7,0,0,1831,31,91,31,36,46,7,2,28,88,4,88,3,1,0,0
11,29.5,78.75,68,48,11,48,8,3,0,0,3,90,2,90,2,0,0,0,710,78,44,78,22,20,1,1,9,91,1,91,1,0,0,0
12,29.5,79.0,68,52,7,52,5,2,0,0,12,85,7,85,7,0,0,0,811,81,41,81,22,16,1,2,12,91,1,91,0,1,0,0
13,29.5,79.25,117,41,18,41,14,4,0,0,82,73,19,73,17,2,0,0,843,63,59,63,36,21,1,1,9,89,3,89,3,0,0,0
14,29.5,79.5,183,39,20,39,15,5,0,0,175,73,19,73,14,4,1,0,852,61,61,61,36,22,3,0,8,87,5,87,5,0,0,0
15,29.5,79.75,180,37,22,37,16,6,0,0,239,52,40,52,34,6,0,0,1024,26,96,26,68,25,3,0,9,86,6,86,6,0,0,0
16,29.5,80.0,239,38,21,38,14,7,0,0,573,47,45,47,28,15,2,0,1883,21,101,21,38,57,6,0,33,79,13,79,12,1,0,0
17,29.5,80.25,243,38,21,38,14,6,1,0,590,45,47,45,36,9,2,0,2195,26,96,26,37,47,11,1,38,79,13,79,12,1,0,0
18,29.75,78.0,115,44,15,44,13,2,0,0,67,81,11,81,9,2,0,0,787,65,57,65,37,16,4,0,8,91,1,91,1,0,0,0
19,29.75,78.25,89,46,13,46,9,4,0,0,24,82,10,82,10,0,0,0,697,77,45,77,26,15,3,1,9,91,1,91,1,0,0,0
20,29.75,78.5,89,49,10,49,5,5,0,0,16,84,8,84,8,0,0,0,701,80,42,80,24,14,2,2,11,91,1,91,0,1,0,0
21,29.75,78.75,91,44,15,44,13,2,0,0,61,78,14,78,12,2,0,0,682,58,64,58,42,20,2,0,10,88,4,88,4,0,0,0
