FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,257,109
1,29.0,79.25,273,93
2,29.0,79.5,267,99
3,29.0,79.75,244,122
4,29.0,80.0,244,122
5,29.25,79.0,269,97
6,29.25,79.25,254,112
7,29.25,79.5,243,123
8,29.25,79.75,233,133
9,29.25,80.0,216,150
10,29.25,80.25,212,154
11,29.5,78.75,298,68
12,29.5,79.0,291,75
13,29.5,79.25,251,115
14,29.5,79.5,251,115
15,29.5,79.75,217,149
16,29.5,80.0,207,159
17,29.5,80.25,199,167
18,29.75,78.0,275,91
19,29.75,78.25,297,69
20,29.75,78.5,306,60
21,29.75,78.75,304,62
22,29.75,79.0,261,105
23,29.75,79.25,264,102
24,29.75,79.5,220,146
25,29.75,79.75,218,148
26,29.75,80.0,202,164
27,29.75,80.25,205,161
28,30.0,77.75,265,101
29,30.0,78.0,276,90
30,30.0,78.25,276,90
31,30.0,78.5,271,95
32,30.0,78.75,265,101
33,30.0,79.0,253,113
34,30.0,79.25,240,126
35,30.0,79.5,211,155
36,30.0,79.75,180,186
37,30.0,80.0,184,182
38,30.0,80.25,189,177
39,30.0,80.5,195,171
40,30.25,78.0,257,109
41,30.25,78.25,268,98
42,30.25,78.5,257,109
43,30.25,78.75,249,117
44,30.25,79.0,267,99
45,30.25,79.25,221,145
46,30.25,79.5,188,178
47,30.25,79.75,176,190
48,30.25,80.0,180,186
49,30.25,80.25,179,187
50,30.25,80.5,184,182
51,30.25,80.75,184,182
52,30.25,81.0,191,175
53,30.5,78.0,256,110
54,30.5,78.25,249,117
55,30.5,78.5,242,124
56,30.5,78.75,228,138
57,30.5,79.0,223,143
58,30.5,79.25,237,129
59,30.5,79.5,220,146
60,30.5,79.75,186,180
61,30.5,80.0,174,192
62,30.5,80.25,178,188
63,30.75,77.75,240,126
64,30.75,78.0,238,128
65,30.75,78.25,248,118
66,30.75,78.5,234,132
67,30.75,78.75,232,134
68,30.75,79.0,226,140
69,30.75,79.25,232,134
70,30.75,79.5,200,166
71,30.75,79.75,191,175
72,30.75,80.0,181,185
73,31.0,78.0,265,101
74,31.0,78.25,242,124
75,31.0,78.5,234,132
76,31.0,78.75,229,137
77,31.0,79.0,223,143
78,31.0,79.25,223,143
79,31.0,79.5,210,156
80,31.0,79.75,193,173
81,31.25,78.25,232,134
82,31.25,79.0,215,151
