FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,274,92
1,29.0,79.25,279,87
2,29.0,79.5,262,104
3,29.0,79.75,267,99
4,29.0,80.0,267,99
5,29.25,79.0,276,90
6,29.25,79.25,267,99
7,29.25,79.5,248,118
8,29.25,79.75,243,123
9,29.25,80.0,249,117
10,29.25,80.25,234,132
11,29.5,78.75,287,79
12,29.5,79.0,316,50
13,29.5,79.25,277,89
14,29.5,79.5,252,114
15,29.5,79.75,219,147
16,29.5,80.0,214,152
17,29.5,80.25,219,147
18,29.75,78.0,266,100
19,29.75,78.25,280,86
20,29.75,78.5,277,89
21,29.75,78.75,287,79
22,29.75,79.0,300,66
23,29.75,79.25,280,86
24,29.75,79.5,232,134
25,29.75,79.75,218,148
26,29.75,80.0,217,149
27,29.75,80.25,222,144
28,30.0,77.75,254,112
29,30.0,78.0,278,88
30,30.0,78.25,256,110
31,30.0,78.5,258,108
32,30.0,78.75,262,104
33,30.0,79.0,269,97
34,30.0,79.25,265,101
35,30.0,79.5,249,117
36,30.0,79.75,240,126
37,30.0,80.0,228,138
38,30.0,80.25,219,147
39,30.0,80.5,223,143
40,30.25,78.0,235,131
41,30.25,78.25,244,122
42,30.25,78.5,254,112
43,30.25,78.75,249,117
44,30.25,79.0,257,109
45,30.25,79.25,268,98
46,30.25,79.5,258,108
47,30.25,79.75,255,111
48,30.25,80.0,258,108
49,30.25,80.25,259,107
50,30.25,80.5,221,145
51,30.25,80.75,219,147
52,30.25,81.0,222,144
53,30.5,78.0,218,148
54,30.5,78.25,234,132
55,30.5,78.5,222,144
56,30.5,78.75,224,142
57,30.5,79.0,249,117
58,30.5,79.25,279,87
59,30.5,79.5,274,92
60,30.5,79.75,257,109
61,30.5,80.0,258,108
62,30.5,80.25,258,108
63,30.75,77.75,239,127
64,30.75,78.0,204,162
65,30.75,78.25,214,152
66,30.75,78.5,214,152
67,30.75,78.75,222,144
68,30.75,79.0,240,126
69,30.75,79.25,272,94
70,30.75,79.5,269,97
71,30.75,79.75,258,108
72,30.75,80.0,257,109
73,31.0,78.0,219,147
74,31.0,78.25,214,152
75,31.0,78.5,213,153
76,31.0,78.75,218,148
77,31.0,79.0,255,111
78,31.0,79.25,265,101
79,31.0,79.5,272,94
80,31.0,79.75,263,103
81,31.25,78.25,213,153
82,31.25,79.0,255,111
