FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,278,87
1,29.0,79.25,287,78
2,29.0,79.5,275,90
3,29.0,79.75,272,93
4,29.0,80.0,267,98
5,29.25,79.0,269,96
6,29.25,79.25,267,98
7,29.25,79.5,250,115
8,29.25,79.75,260,105
9,29.25,80.0,257,108
10,29.25,80.25,251,114
11,29.5,78.75,283,82
12,29.5,79.0,257,108
13,29.5,79.25,251,114
14,29.5,79.5,259,106
15,29.5,79.75,255,110
16,29.5,80.0,270,95
17,29.5,80.25,236,129
18,29.75,78.0,268,97
19,29.75,78.25,280,85
20,29.75,78.5,287,78
21,29.75,78.75,268,97
22,29.75,79.0,251,114
23,29.75,79.25,272,93
24,29.75,79.5,274,91
25,29.75,79.75,263,102
26,29.75,80.0,222,143
27,29.75,80.25,210,155
28,30.0,77.75,255,110
29,30.0,78.0,267,98
30,30.0,78.25,260,105
31,30.0,78.5,272,93
32,30.0,78.75,266,99
33,30.0,79.0,250,115
34,30.0,79.25,241,124
35,30.0,79.5,257,108
36,30.0,79.75,208,157
37,30.0,80.0,216,149
38,30.0,80.25,207,158
39,30.0,80.5,204,161
40,30.25,78.0,240,125
41,30.25,78.25,265,100
42,30.25,78.5,283,82
43,30.25,78.75,268,97
44,30.25,79.0,247,118
45,30.25,79.25,233,132
46,30.25,79.5,228,137
47,30.25,79.75,194,171
48,30.25,80.0,210,155
49,30.25,80.25,205,160
50,30.25,80.5,206,159
51,30.25,80.75,207,158
52,30.25,81.0,214,151
53,30.5,78.0,243,122
54,30.5,78.25,244,121
55,30.5,78.5,249,116
56,30.5,78.75,243,122
57,30.5,79.0,228,137
58,30.5,79.25,226,139
59,30.5,79.5,232,133
60,30.5,79.75,199,166
61,30.5,80.0,199,166
62,30.5,80.25,202,163
63,30.75,77.75,250,115
64,30.75,78.0,246,119
65,30.75,78.25,250,115
66,30.75,78.5,245,120
67,30.75,78.75,246,119
68,30.75,79.0,220,145
69,30.75,79.25,221,144
70,30.75,79.5,233,132
71,30.75,79.75,203,162
72,30.75,80.0,194,171
73,31.0,78.0,231,134
74,31.0,78.25,247,118
75,31.0,78.5,244,121
76,31.0,78.75,244,121
77,31.0,79.0,221,144
78,31.0,79.25,215,150
79,31.0,79.5,221,144
80,31.0,79.75,212,153
81,31.25,78.25,221,144
82,31.25,79.0,227,138
