FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,259,107
1,29.0,79.25,263,103
2,29.0,79.5,251,115
3,29.0,79.75,242,124
4,29.0,80.0,244,122
5,29.25,79.0,252,114
6,29.25,79.25,236,130
7,29.25,79.5,228,138
8,29.25,79.75,244,122
9,29.25,80.0,235,131
10,29.25,80.25,226,140
11,29.5,78.75,251,115
12,29.5,79.0,248,118
13,29.5,79.25,230,136
14,29.5,79.5,248,118
15,29.5,79.75,237,129
16,29.5,80.0,231,135
17,29.5,80.25,197,169
18,29.75,78.0,245,121
19,29.75,78.25,264,102
20,29.75,78.5,264,102
21,29.75,78.75,245,121
22,29.75,79.0,264,102
23,29.75,79.25,273,93
24,29.75,79.5,243,123
25,29.75,79.75,218,148
26,29.75,80.0,217,149
27,29.75,80.25,193,173
28,30.0,77.75,245,121
29,30.0,78.0,240,126
30,30.0,78.25,224,142
31,30.0,78.5,251,115
32,30.0,78.75,257,109
33,30.0,79.0,251,115
34,30.0,79.25,258,108
35,30.0,79.5,238,128
36,30.0,79.75,232,134
37,30.0,80.0,202,164
38,30.0,80.25,189,177
39,30.0,80.5,189,177
40,30.25,78.0,227,139
41,30.25,78.25,230,136
42,30.25,78.5,257,109
43,30.25,78.75,252,114
44,30.25,79.0,244,122
45,30.25,79.25,228,138
46,30.25,79.5,220,146
47,30.25,79.75,204,162
48,30.25,80.0,200,166
49,30.25,80.25,191,175
50,30.25,80.5,190,176
51,30.25,80.75,188,178
52,30.25,81.0,191,175
53,30.5,78.0,219,147
54,30.5,78.25,224,142
55,30.5,78.5,244,122
56,30.5,78.75,212,154
57,30.5,79.0,209,157
58,30.5,79.25,225,141
59,30.5,79.5,222,144
60,30.5,79.75,195,171
61,30.5,80.0,190,176
62,30.5,80.25,189,177
63,30.75,77.75,238,128
64,30.75,78.0,218,148
65,30.75,78.25,238,128
66,30.75,78.5,218,148
67,30.75,78.75,209,157
68,30.75,79.0,195,171
69,30.75,79.25,209,157
70,30.75,79.5,214,152
71,30.75,79.75,207,159
72,30.75,80.0,196,170
73,31.0,78.0,231,135
74,31.0,78.25,212,154
75,31.0,78.5,214,152
76,31.0,78.75,206,160
77,31.0,79.0,191,175
78,31.0,79.25,204,162
79,31.0,79.5,208,158
80,31.0,79.75,210,156
81,31.25,78.25,232,134
82,31.25,79.0,201,165
