FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,282,83
1,29.0,79.25,281,84
2,29.0,79.5,272,93
3,29.0,79.75,268,97
4,29.0,80.0,268,97
5,29.25,79.0,267,98
6,29.25,79.25,265,100
7,29.25,79.5,249,116
8,29.25,79.75,256,109
9,29.25,80.0,256,109
10,29.25,80.25,250,115
11,29.5,78.75,275,90
12,29.5,79.0,260,105
13,29.5,79.25,250,115
14,29.5,79.5,255,110
15,29.5,79.75,260,105
16,29.5,80.0,253,112
17,29.5,80.25,236,129
18,29.75,78.0,272,93
19,29.75,78.25,270,95
20,29.75,78.5,274,91
21,29.75,78.75,262,103
22,29.75,79.0,252,113
23,29.75,79.25,264,101
24,29.75,79.5,255,110
25,29.75,79.75,252,113
26,29.75,80.0,235,130
27,29.75,80.25,233,132
28,30.0,77.75,258,107
29,30.0,78.0,275,90
30,30.0,78.25,266,99
31,30.0,78.5,260,105
32,30.0,78.75,260,105
33,30.0,79.0,248,117
34,30.0,79.25,249,116
35,30.0,79.5,244,121
36,30.0,79.75,236,129
37,30.0,80.0,239,126
38,30.0,80.25,236,129
39,30.0,80.5,236,129
40,30.25,78.0,250,115
41,30.25,78.25,275,90
42,30.25,78.5,268,97
43,30.25,78.75,257,108
44,30.25,79.0,246,119
45,30.25,79.25,246,119
46,30.25,79.5,240,125
47,30.25,79.75,227,138
48,30.25,80.0,232,133
49,30.25,80.25,233,132
50,30.25,80.5,236,129
51,30.25,80.75,239,126
52,30.25,81.0,240,125
53,30.5,78.0,252,113
54,30.5,78.25,262,103
55,30.5,78.5,264,101
56,30.5,78.75,242,123
57,30.5,79.0,240,125
58,30.5,79.25,242,123
59,30.5,79.5,239,126
60,30.5,79.75,226,139
61,30.5,80.0,229,136
62,30.5,80.25,230,135
63,30.75,77.75,252,113
64,30.75,78.0,258,107
65,30.75,78.25,258,107
66,30.75,78.5,248,117
67,30.75,78.75,239,126
68,30.75,79.0,234,131
69,30.75,79.25,234,131
70,30.75,79.5,233,132
71,30.75,79.75,228,137
72,30.75,80.0,223,142
73,31.0,78.0,244,121
74,31.0,78.25,247,118
75,31.0,78.5,242,123
76,31.0,78.75,238,127
77,31.0,79.0,236,129
78,31.0,79.25,233,132
79,31.0,79.5,232,133
80,31.0,79.75,229,136
81,31.25,78.25,254,111
82,31.25,79.0,235,130
