FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,276,90
1,29.0,79.25,281,85
2,29.0,79.5,277,89
3,29.0,79.75,273,93
4,29.0,80.0,275,91
5,29.25,79.0,278,88
6,29.25,79.25,273,93
7,29.25,79.5,267,99
8,29.25,79.75,266,100
9,29.25,80.0,263,103
10,29.25,80.25,261,105
11,29.5,78.75,283,83
12,29.5,79.0,271,95
13,29.5,79.25,257,109
14,29.5,79.5,274,92
15,29.5,79.75,260,106
16,29.5,80.0,270,96
17,29.5,80.25,271,95
18,29.75,78.0,287,79
19,29.75,78.25,267,99
20,29.75,78.5,272,94
21,29.75,78.75,274,92
22,29.75,79.0,263,103
23,29.75,79.25,261,105
24,29.75,79.5,268,98
25,29.75,79.75,262,104
26,29.75,80.0,267,99
27,29.75,80.25,274,92
28,30.0,77.75,277,89
29,30.0,78.0,281,85
30,30.0,78.25,260,106
31,30.0,78.5,264,102
32,30.0,78.75,262,104
33,30.0,79.0,258,108
34,30.0,79.25,245,121
35,30.0,79.5,254,112
36,30.0,79.75,264,102
37,30.0,80.0,272,94
38,30.0,80.25,270,96
39,30.0,80.5,273,93
40,30.25,78.0,247,119
41,30.25,78.25,254,112
42,30.25,78.5,274,92
43,30.25,78.75,272,94
44,30.25,79.0,246,120
45,30.25,79.25,241,125
46,30.25,79.5,233,133
47,30.25,79.75,252,114
48,30.25,80.0,262,104
49,30.25,80.25,266,100
50,30.25,80.5,272,94
51,30.25,80.75,277,89
52,30.25,81.0,282,84
53,30.5,78.0,239,127
54,30.5,78.25,250,116
55,30.5,78.5,254,112
56,30.5,78.75,238,128
57,30.5,79.0,237,129
58,30.5,79.25,231,135
59,30.5,79.5,230,136
60,30.5,79.75,235,131
61,30.5,80.0,247,119
62,30.5,80.25,259,107
63,30.75,77.75,254,112
64,30.75,78.0,246,120
65,30.75,78.25,242,124
66,30.75,78.5,235,131
67,30.75,78.75,226,140
68,30.75,79.0,228,138
69,30.75,79.25,233,133
70,30.75,79.5,230,136
71,30.75,79.75,231,135
72,30.75,80.0,239,127
73,31.0,78.0,246,120
74,31.0,78.25,221,145
75,31.0,78.5,223,143
76,31.0,78.75,224,142
77,31.0,79.0,229,137
78,31.0,79.25,231,135
79,31.0,79.5,257,109
80,31.0,79.75,243,123
81,31.25,78.25,232,134
82,31.25,79.0,228,138
