FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,275,91
1,29.0,79.25,278,88
2,29.0,79.5,267,99
3,29.0,79.75,260,106
4,29.0,80.0,262,104
5,29.25,79.0,285,81
6,29.25,79.25,252,114
7,29.25,79.5,241,125
8,29.25,79.75,262,104
9,29.25,80.0,258,108
10,29.25,80.25,251,115
11,29.5,78.75,302,64
12,29.5,79.0,272,94
13,29.5,79.25,248,118
14,29.5,79.5,259,107
15,29.5,79.75,260,106
16,29.5,80.0,260,106
17,29.5,80.25,213,153
18,29.75,78.0,275,91
19,29.75,78.25,274,92
20,29.75,78.5,282,84
21,29.75,78.75,268,98
22,29.75,79.0,261,105
23,29.75,79.25,289,77
24,29.75,79.5,266,100
25,29.75,79.75,255,111
26,29.75,80.0,230,136
27,29.75,80.25,209,157
28,30.0,77.75,270,96
29,30.0,78.0,266,100
30,30.0,78.25,247,119
31,30.0,78.5,275,91
32,30.0,78.75,272,94
33,30.0,79.0,251,115
34,30.0,79.25,243,123
35,30.0,79.5,261,105
36,30.0,79.75,243,123
37,30.0,80.0,204,162
38,30.0,80.25,202,164
39,30.0,80.5,203,163
40,30.25,78.0,237,129
41,30.25,78.25,253,113
42,30.25,78.5,280,86
43,30.25,78.75,275,91
44,30.25,79.0,244,122
45,30.25,79.25,235,131
46,30.25,79.5,230,136
47,30.25,79.75,211,155
48,30.25,80.0,203,163
49,30.25,80.25,198,168
50,30.25,80.5,202,164
51,30.25,80.75,202,164
52,30.25,81.0,205,161
53,30.5,78.0,236,130
54,30.5,78.25,253,113
55,30.5,78.5,268,98
56,30.5,78.75,230,136
57,30.5,79.0,229,137
58,30.5,79.25,234,132
59,30.5,79.5,235,131
60,30.5,79.75,208,158
61,30.5,80.0,203,163
62,30.5,80.25,197,169
63,30.75,77.75,254,112
64,30.75,78.0,244,122
65,30.75,78.25,258,108
66,30.75,78.5,249,117
67,30.75,78.75,235,131
68,30.75,79.0,217,149
69,30.75,79.25,218,148
70,30.75,79.5,222,144
71,30.75,79.75,213,153
72,30.75,80.0,206,160
73,31.0,78.0,244,122
74,31.0,78.25,244,122
75,31.0,78.5,245,121
76,31.0,78.75,234,132
77,31.0,79.0,220,146
78,31.0,79.25,216,150
79,31.0,79.5,220,146
80,31.0,79.75,215,151
81,31.25,78.25,244,122
82,31.25,79.0,223,143
