FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,269,97
1,29.0,79.25,279,87
2,29.0,79.5,270,96
3,29.0,79.75,271,95
4,29.0,80.0,263,103
5,29.25,79.0,269,97
6,29.25,79.25,265,101
7,29.25,79.5,247,119
8,29.25,79.75,230,136
9,29.25,80.0,227,139
10,29.25,80.25,214,152
11,29.5,78.75,267,99
12,29.5,79.0,265,101
13,29.5,79.25,245,121
14,29.5,79.5,250,116
15,29.5,79.75,223,143
16,29.5,80.0,235,131
17,29.5,80.25,218,148
18,29.75,78.0,267,99
19,29.75,78.25,255,111
20,29.75,78.5,257,109
21,29.75,78.75,240,126
22,29.75,79.0,247,119
23,29.75,79.25,242,124
24,29.75,79.5,239,127
25,29.75,79.75,219,147
26,29.75,80.0,219,147
27,29.75,80.25,234,132
28,30.0,77.75,259,107
29,30.0,78.0,268,98
30,30.0,78.25,242,124
31,30.0,78.5,236,130
32,30.0,78.75,233,133
33,30.0,79.0,227,139
34,30.0,79.25,228,138
35,30.0,79.5,226,140
36,30.0,79.75,204,162
37,30.0,80.0,211,155
38,30.0,80.25,231,135
39,30.0,80.5,234,132
40,30.25,78.0,231,135
41,30.25,78.25,229,137
42,30.25,78.5,239,127
43,30.25,78.75,233,133
44,30.25,79.0,231,135
45,30.25,79.25,214,152
46,30.25,79.5,223,143
47,30.25,79.75,221,145
48,30.25,80.0,209,157
49,30.25,80.25,218,148
50,30.25,80.5,224,142
51,30.25,80.75,235,131
52,30.25,81.0,239,127
53,30.5,78.0,216,150
54,30.5,78.25,210,156
55,30.5,78.5,225,141
56,30.5,78.75,195,171
57,30.5,79.0,211,155
58,30.5,79.25,215,151
59,30.5,79.5,234,132
60,30.5,79.75,212,154
61,30.5,80.0,215,151
62,30.5,80.25,220,146
63,30.75,77.75,229,137
64,30.75,78.0,226,140
65,30.75,78.25,245,121
66,30.75,78.5,217,149
67,30.75,78.75,206,160
68,30.75,79.0,201,165
69,30.75,79.25,211,155
70,30.75,79.5,215,151
71,30.75,79.75,214,152
72,30.75,80.0,214,152
73,31.0,78.0,234,132
74,31.0,78.25,227,139
75,31.0,78.5,214,152
76,31.0,78.75,206,160
77,31.0,79.0,205,161
78,31.0,79.25,202,164
79,31.0,79.5,212,154
80,31.0,79.75,215,151
81,31.25,78.25,244,122
82,31.25,79.0,207,159
