FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,256,110
1,29.0,79.25,283,83
2,29.0,79.5,326,40
3,29.0,79.75,267,99
4,29.0,80.0,253,113
5,29.25,79.0,266,100
6,29.25,79.25,260,106
7,29.25,79.5,258,108
8,29.25,79.75,254,112
9,29.25,80.0,245,121
10,29.25,80.25,238,128
11,29.5,78.75,275,91
12,29.5,79.0,257,109
13,29.5,79.25,247,119
14,29.5,79.5,254,112
15,29.5,79.75,249,117
16,29.5,80.0,268,98
17,29.5,80.25,236,130
18,29.75,78.0,271,95
19,29.75,78.25,268,98
20,29.75,78.5,268,98
21,29.75,78.75,244,122
22,29.75,79.0,248,118
23,29.75,79.25,257,109
24,29.75,79.5,268,98
25,29.75,79.75,256,110
26,29.75,80.0,246,120
27,29.75,80.25,232,134
28,30.0,77.75,267,99
29,30.0,78.0,267,99
30,30.0,78.25,248,118
31,30.0,78.5,243,123
32,30.0,78.75,245,121
33,30.0,79.0,236,130
34,30.0,79.25,235,131
35,30.0,79.5,240,126
36,30.0,79.75,255,111
37,30.0,80.0,257,109
38,30.0,80.25,232,134
39,30.0,80.5,231,135
40,30.25,78.0,242,124
41,30.25,78.25,246,120
42,30.25,78.5,260,106
43,30.25,78.75,248,118
44,30.25,79.0,237,129
45,30.25,79.25,227,139
46,30.25,79.5,223,143
47,30.25,79.75,247,119
48,30.25,80.0,248,118
49,30.25,80.25,242,124
50,30.25,80.5,234,132
51,30.25,80.75,233,133
52,30.25,81.0,232,134
53,30.5,78.0,224,142
54,30.5,78.25,242,124
55,30.5,78.5,238,128
56,30.5,78.75,202,164
57,30.5,79.0,228,138
58,30.5,79.25,225,141
59,30.5,79.5,237,129
60,30.5,79.75,234,132
61,30.5,80.0,234,132
62,30.5,80.25,229,137
63,30.75,77.75,246,120
64,30.75,78.0,228,138
65,30.75,78.25,241,125
66,30.75,78.5,224,142
67,30.75,78.75,208,158
68,30.75,79.0,196,170
69,30.75,79.25,218,148
70,30.75,79.5,224,142
71,30.75,79.75,229,137
72,30.75,80.0,231,135
73,31.0,78.0,219,147
74,31.0,78.25,211,155
75,31.0,78.5,211,155
76,31.0,78.75,207,159
77,31.0,79.0,198,168
78,31.0,79.25,205,161
79,31.0,79.5,218,148
80,31.0,79.75,228,138
81,31.25,78.25,255,111
82,31.25,79.0,201,165
