FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,284,82
1,29.0,79.25,257,109
2,29.0,79.5,250,116
3,29.0,79.75,254,112
4,29.0,80.0,265,101
5,29.25,79.0,261,105
6,29.25,79.25,265,101
7,29.25,79.5,251,115
8,29.25,79.75,237,129
9,29.25,80.0,233,133
10,29.25,80.25,224,142
11,29.5,78.75,256,110
12,29.5,79.0,254,112
13,29.5,79.25,258,108
14,29.5,79.5,279,87
15,29.5,79.75,228,138
16,29.5,80.0,228,138
17,29.5,80.25,228,138
18,29.75,78.0,271,95
19,29.75,78.25,273,93
20,29.75,78.5,267,99
21,29.75,78.75,252,114
22,29.75,79.0,249,117
23,29.75,79.25,241,125
24,29.75,79.5,239,127
25,29.75,79.75,225,141
26,29.75,80.0,234,132
27,29.75,80.25,231,135
28,30.0,77.75,260,106
29,30.0,78.0,276,90
30,30.0,78.25,258,108
31,30.0,78.5,252,114
32,30.0,78.75,243,123
33,30.0,79.0,237,129
34,30.0,79.25,227,139
35,30.0,79.5,222,144
36,30.0,79.75,223,143
37,30.0,80.0,230,136
38,30.0,80.25,231,135
39,30.0,80.5,231,135
40,30.25,78.0,250,116
41,30.25,78.25,232,134
42,30.25,78.5,233,133
43,30.25,78.75,235,131
44,30.25,79.0,234,132
45,30.25,79.25,244,122
46,30.25,79.5,239,127
47,30.25,79.75,221,145
48,30.25,80.0,220,146
49,30.25,80.25,225,141
50,30.25,80.5,231,135
51,30.25,80.75,231,135
52,30.25,81.0,231,135
53,30.5,78.0,238,128
54,30.5,78.25,231,135
55,30.5,78.5,227,139
56,30.5,78.75,230,136
57,30.5,79.0,235,131
58,30.5,79.25,256,110
59,30.5,79.5,255,111
60,30.5,79.75,235,131
61,30.5,80.0,219,147
62,30.5,80.25,221,145
63,30.75,77.75,234,132
64,30.75,78.0,239,127
65,30.75,78.25,260,106
66,30.75,78.5,304,62
67,30.75,78.75,235,131
68,30.75,79.0,236,130
69,30.75,79.25,256,110
70,30.75,79.5,259,107
71,30.75,79.75,248,118
72,30.75,80.0,229,137
73,31.0,78.0,248,118
74,31.0,78.25,235,131
75,31.0,78.5,241,125
76,31.0,78.75,233,133
77,31.0,79.0,235,131
78,31.0,79.25,250,116
79,31.0,79.5,260,106
80,31.0,79.75,257,109
81,31.25,78.25,249,117
82,31.25,79.0,234,132
