FID,Lat,Long,Dry_days,Wet_days
0,28.75,80.0,272,93
1,29.0,79.25,274,91
2,29.0,79.5,262,103
3,29.0,79.75,250,115
4,29.0,80.0,253,112
5,29.25,79.0,267,98
6,29.25,79.25,245,120
7,29.25,79.5,234,131
8,29.25,79.75,240,125
9,29.25,80.0,239,126
10,29.25,80.25,234,131
11,29.5,78.75,272,93
12,29.5,79.0,254,111
13,29.5,79.25,231,134
14,29.5,79.5,238,127
15,29.5,79.75,234,131
16,29.5,80.0,235,130
17,29.5,80.25,204,161
18,29.75,78.0,254,111
19,29.75,78.25,280,85
20,29.75,78.5,276,89
21,29.75,78.75,262,103
22,29.75,79.0,254,111
23,29.75,79.25,270,95
24,29.75,79.5,238,127
25,29.75,79.75,225,140
26,29.75,80.0,224,141
27,29.75,80.25,197,168
28,30.0,77.75,255,110
29,30.0,78.0,246,119
30,30.0,78.25,225,140
31,30.0,78.5,255,110
32,30.0,78.75,254,111
33,30.0,79.0,238,127
34,30.0,79.25,245,120
35,30.0,79.5,233,132
36,30.0,79.75,232,133
37,30.0,80.0,184,181
38,30.0,80.25,186,179
39,30.0,80.5,187,178
40,30.25,78.0,250,115
41,30.25,78.25,224,141
42,30.25,78.5,265,100
43,30.25,78.75,256,109
44,30.25,79.0,235,130
45,30.25,79.25,217,148
46,30.25,79.5,202,163
47,30.25,79.75,188,177
48,30.25,80.0,182,183
49,30.25,80.25,181,184
50,30.25,80.5,184,181
51,30.25,80.75,184,181
52,30.25,81.0,187,178
53,30.5,78.0,223,142
54,30.5,78.25,239,126
55,30.5,78.5,252,113
56,30.5,78.75,214,151
57,30.5,79.0,206,159
58,30.5,79.25,215,150
59,30.5,79.5,211,154
60,30.5,79.75,180,185
61,30.5,80.0,172,193
62,30.5,80.25,179,186
63,30.75,77.75,236,129
64,30.75,78.0,230,135
65,30.75,78.25,242,123
66,30.75,78.5,237,128
67,30.75,78.75,211,154
68,30.75,79.0,192,173
69,30.75,79.25,195,170
70,30.75,79.5,203,162
71,30.75,79.75,186,179
72,30.75,80.0,180,185
73,31.0,78.0,228,137
74,31.0,78.25,233,132
75,31.0,78.5,228,137
76,31.0,78.75,211,154
77,31.0,79.0,192,173
78,31.0,79.25,194,171
79,31.0,79.5,196,169
80,31.0,79.75,193,172
81,31.25,78.25,213,152
82,31.25,79.0,195,170
